,Date,Actual,Predicted,Actual_Change,Predicted_Change,Signal,Strategy_Return,Cum_Market_Return,Cum_Strategy_Return
0,2022-10-18,233.5215,236.59924,,,-1,,,
1,2022-10-19,231.54364,250.26073,-0.008469701,0.057741046,1,0.008469700813293457,-0.008469701,0.008469700813293457
2,2022-10-20,231.22055,245.51819,-0.0013953447,-0.018950403,-1,-0.0013953447341918945,-0.009853244,0.007062537926671553
3,2022-10-21,237.0659,243.8429,0.025280476,-0.00682348,-1,-0.025280475616455078,0.015178084,-0.018396482007629
4,2022-10-24,242.08884,243.697,0.021187901,-0.0005983114,-1,-0.021187901496887207,0.036687613,-0.03919460065584934
5,2022-10-25,245.42767,246.00937,0.0137918,0.009488702,1,-0.013791799545288086,0.050985456,-0.05244583612563436
6,2022-10-26,226.49138,250.64091,-0.077156305,0.018826723,1,-0.07715630531311035,-0.030104697,-0.1255556144942339
7,2022-10-27,222.01674,256.59796,-0.019756317,0.023767233,1,-0.019756317138671875,-0.04926628,-0.14283141509441688
8,2022-10-28,230.94637,257.53735,0.0402205,0.0036609173,1,0.04022049903869629,-0.0110272765,-0.10835566684922127
9,2022-10-31,227.28447,257.08575,-0.015856028,-0.001753509,-1,-0.015856027603149414,-0.026708484,-0.12249360400785181
10,2022-11-01,223.40712,255.23094,-0.017059445,-0.0072147846,-1,0.01705944538116455,-0.04331231,-0.10752383157380119
11,2022-11-02,215.50558,258.39545,-0.035368323,0.012398601,1,0.03536832332611084,-0.077148736,-0.07595844588805478
12,2022-11-03,209.7777,248.48035,-0.026578844,-0.0383718,-1,-0.026578843593597412,-0.10167706,-0.1005184018287808
13,2022-11-04,216.76866,243.87883,0.033325553,-0.018518627,-1,-0.03332555294036865,-0.07173997,-0.1304941234475232
14,2022-11-07,223.11336,242.61043,0.029269457,-0.0052009225,-1,-0.02926945686340332,-0.044570327,-0.1559440881937516
15,2022-11-08,224.09251,244.42606,0.004388571,0.007483721,1,-0.004388570785522461,-0.04037738,-0.15964828730965208
16,2022-11-09,219.82352,240.85916,-0.01905018,-0.014592946,-1,-0.019050180912017822,-0.05865836,-0.17565713946612727
17,2022-11-10,237.90796,244.78795,0.082268,0.016311526,1,-0.08226799964904785,0.018783927,-0.243474177627223
