                  光伏ETF指数基金 (159618),,,,,
,,,,,
      时间,    开盘,    最高,    最低,    收盘,         成交量
,,,,,
 2022/04/22,0.95,0.962,0.941,0.943,99655656
 2022/04/25,0.93,0.934,0.856,0.87,36788724
 2022/04/26,0.871,0.901,0.87,0.872,21780096
 2022/04/27,0.859,0.949,0.859,0.945,31728582
 2022/04/28,0.943,0.968,0.923,0.952,25938238
 2022/04/29,0.941,0.99,0.941,0.985,34598728
 2022/05/05,0.984,1.008,0.971,0.992,36713192
 2022/05/06,0.979,0.989,0.969,0.972,15025055
 2022/05/09,0.971,1,0.971,0.989,14393508
 2022/05/10,0.985,1.032,0.985,1.01,70156480
 2022/05/11,1.013,1.062,1.013,1.044,68735576
 2022/05/12,1.041,1.043,1.024,1.03,29046944
 2022/05/13,1.028,1.046,1.028,1.04,18698278
 2022/05/16,1.039,1.059,1.024,1.024,13747201
 2022/05/17,1.022,1.065,1.022,1.061,14992457
 2022/05/18,1.061,1.085,1.057,1.078,20847848
 2022/05/19,1.065,1.141,1.061,1.132,24532664
 2022/05/20,1.144,1.146,1.121,1.145,20496954
 2022/05/23,1.143,1.143,1.12,1.139,15765434
 2022/05/24,1.138,1.148,1.1,1.105,28795528
 2022/05/25,1.1,1.117,1.094,1.115,23258942
 2022/05/26,1.116,1.129,1.094,1.11,17399568
 2022/05/27,1.11,1.128,1.097,1.104,11434830
 2022/05/30,1.11,1.111,1.095,1.11,11062313
 2022/05/31,1.128,1.145,1.111,1.141,12378586
 2022/06/01,1.142,1.142,1.125,1.131,12625022
 2022/06/02,1.132,1.16,1.128,1.16,9869248
 2022/06/06,1.162,1.23,1.162,1.213,12776572
 2022/06/07,1.213,1.274,1.213,1.219,5938420
 2022/06/08,1.219,1.224,1.191,1.216,7236269
 2022/06/09,1.216,1.229,1.2,1.207,15456528
 2022/06/10,1.207,1.241,1.19,1.238,7485732
 2022/06/13,1.238,1.273,1.227,1.245,8948480
 2022/06/14,1.245,1.245,1.181,1.227,6858250
 2022/06/15,1.228,1.244,1.198,1.219,9387365
 2022/06/16,1.212,1.253,1.212,1.239,13858555
 2022/06/17,1.236,1.269,1.23,1.267,10694910
 2022/06/20,1.267,1.298,1.261,1.281,6578919
 2022/06/21,1.281,1.299,1.251,1.266,15974713
 2022/06/22,1.265,1.309,1.255,1.283,15938699
 2022/06/23,1.285,1.306,1.265,1.305,13378213
 2022/06/24,1.305,1.345,1.305,1.343,16275547
 2022/06/27,1.394,1.394,1.331,1.345,6909427
 2022/06/28,1.345,1.375,1.322,1.372,17759332
 2022/06/29,1.371,1.371,1.305,1.309,16405516
 2022/06/30,1.309,1.37,1.306,1.359,15238317
 2022/07/01,1.357,1.375,1.333,1.359,11399330
