                  绿色电力ETF (159625),,,,,
,,,,,
      时间,    开盘,    最高,    最低,    收盘,         成交量
,,,,,
 2022/04/29,0.998,1.009,0.989,1.002,510691616
 2022/05/05,1.004,1.028,1.002,1.021,253807312
 2022/05/06,1.006,1.01,0.993,0.999,60759264
 2022/05/09,0.999,1.013,0.994,1.006,64635208
 2022/05/10,1.002,1.042,0.995,1.038,120127184
 2022/05/11,1.038,1.057,1.035,1.038,96992440
 2022/05/12,1.042,1.062,1.031,1.041,66251756
 2022/05/13,1.043,1.06,1.04,1.058,62089424
 2022/05/16,1.058,1.063,1.046,1.052,55125588
 2022/05/17,1.055,1.055,1.037,1.05,43991376
 2022/05/18,1.049,1.062,1.043,1.054,38015536
 2022/05/19,1.043,1.069,1.036,1.068,45182960
 2022/05/20,1.063,1.087,1.063,1.081,51137468
 2022/05/23,1.081,1.083,1.065,1.074,27918364
 2022/05/24,1.075,1.08,1.045,1.046,50701100
 2022/05/25,1.047,1.074,1.041,1.074,55239428
 2022/05/26,1.071,1.086,1.066,1.081,52220408
 2022/05/27,1.081,1.086,1.069,1.079,49189140
 2022/05/30,1.08,1.088,1.074,1.088,50613032
 2022/05/31,1.094,1.106,1.085,1.105,51666220
 2022/06/01,1.095,1.103,1.084,1.1,43284552
 2022/06/02,1.091,1.099,1.086,1.096,37253416
 2022/06/06,1.097,1.107,1.088,1.106,48329904
 2022/06/07,1.106,1.111,1.094,1.1,46041196
 2022/06/08,1.1,1.11,1.087,1.105,47393184
 2022/06/09,1.101,1.115,1.091,1.095,47317536
 2022/06/10,1.089,1.118,1.084,1.118,46499664
 2022/06/13,1.117,1.117,1.088,1.1,51736364
 2022/06/14,1.09,1.11,1.079,1.11,40748192
 2022/06/15,1.102,1.119,1.099,1.104,42105448
 2022/06/16,1.105,1.11,1.096,1.098,32749208
 2022/06/17,1.095,1.11,1.092,1.109,35129376
 2022/06/20,1.109,1.131,1.105,1.124,42166088
 2022/06/21,1.124,1.135,1.114,1.124,41437416
 2022/06/22,1.124,1.125,1.106,1.107,34763652
 2022/06/23,1.107,1.115,1.094,1.115,39162304
 2022/06/24,1.114,1.12,1.107,1.115,41445632
 2022/06/27,1.116,1.12,1.108,1.115,35054864
 2022/06/28,1.117,1.133,1.114,1.133,47988236
 2022/06/29,1.133,1.133,1.114,1.115,43629216
 2022/06/30,1.115,1.128,1.111,1.121,47002432
 2022/07/01,1.125,1.15,1.125,1.141,53950372
 2022/07/04,1.141,1.165,1.132,1.164,48478848
