                  光伏ETF (159857),,,,,
,,,,,
      时间,    开盘,    最高,    最低,    收盘,         成交量
,,,,,
 2021/02/24,0.958,0.98,0.915,0.93,66879484
 2021/02/25,0.933,0.945,0.922,0.925,47680772
 2021/02/26,0.91,0.926,0.892,0.917,58504960
 2021/03/01,0.918,0.952,0.918,0.944,62666280
 2021/03/02,0.954,0.957,0.925,0.935,57800908
 2021/03/03,0.929,0.931,0.911,0.93,60557440
 2021/03/04,0.927,0.927,0.869,0.874,86639320
 2021/03/05,0.849,0.883,0.849,0.874,62531316
 2021/03/08,0.875,0.88,0.826,0.828,76688808
 2021/03/09,0.828,0.829,0.789,0.802,68203032
 2021/03/10,0.823,0.825,0.802,0.807,67039280
 2021/03/11,0.818,0.839,0.806,0.836,68994912
 2021/03/12,0.842,0.854,0.83,0.853,63577676
 2021/03/15,0.849,0.849,0.809,0.818,60750652
 2021/03/16,0.82,0.828,0.807,0.823,72272760
 2021/03/17,0.822,0.829,0.806,0.827,57370124
 2021/03/18,0.83,0.842,0.824,0.84,75256608
 2021/03/19,0.828,0.831,0.814,0.82,46129712
 2021/03/22,0.816,0.843,0.816,0.838,59229424
 2021/03/23,0.84,0.84,0.818,0.825,50191016
 2021/03/24,0.822,0.828,0.805,0.808,52282344
 2021/03/25,0.805,0.812,0.792,0.807,50845032
 2021/03/26,0.812,0.839,0.812,0.835,88641536
 2021/03/29,0.835,0.837,0.821,0.828,85666632
 2021/03/30,0.828,0.859,0.823,0.855,76906008
 2021/03/31,0.857,0.857,0.842,0.848,54377120
 2021/04/01,0.846,0.87,0.846,0.858,59585000
 2021/04/02,0.861,0.861,0.844,0.855,57239560
 2021/04/06,0.857,0.883,0.857,0.874,71948616
 2021/04/07,0.874,0.875,0.85,0.86,53079832
 2021/04/08,0.854,0.857,0.846,0.853,58278112
 2021/04/09,0.85,0.851,0.835,0.839,60143772
 2021/04/12,0.838,0.839,0.812,0.816,54962512
 2021/04/13,0.81,0.82,0.807,0.811,56814304
 2021/04/14,0.814,0.823,0.811,0.822,53625812
 2021/04/15,0.818,0.83,0.815,0.827,57292204
 2021/04/16,0.827,0.827,0.811,0.824,51564304
 2021/04/19,0.819,0.854,0.819,0.853,74602664
