                  光伏ETF基金 (159863),,,,,
,,,,,
      时间,    开盘,    最高,    最低,    收盘,         成交量
,,,,,
 2021/03/11,0.609,0.637,0.607,0.634,27442236
 2021/03/12,0.638,0.648,0.631,0.647,14155680
 2021/03/15,0.65,0.65,0.612,0.621,10958750
 2021/03/16,0.621,0.629,0.614,0.626,5448854
 2021/03/17,0.625,0.629,0.613,0.627,9891875
 2021/03/18,0.627,0.638,0.627,0.638,7781602
 2021/03/19,0.633,0.633,0.617,0.621,5996398
 2021/03/22,0.622,0.639,0.622,0.637,8441484
 2021/03/23,0.637,0.638,0.62,0.627,4001351
 2021/03/24,0.627,0.628,0.611,0.613,8278252
 2021/03/25,0.613,0.616,0.601,0.611,6994669
 2021/03/26,0.619,0.637,0.619,0.633,15386738
 2021/03/29,0.627,0.632,0.623,0.626,3227410
 2021/03/30,0.626,0.649,0.623,0.647,18503752
 2021/03/31,0.643,0.647,0.637,0.642,5588283
 2021/04/01,0.642,0.658,0.642,0.648,7597733
 2021/04/02,0.648,0.651,0.64,0.647,8978936
 2021/04/06,0.649,0.667,0.649,0.66,12659199
 2021/04/07,0.659,0.659,0.643,0.651,4644755
 2021/04/08,0.64,0.65,0.64,0.645,2042826
 2021/04/09,0.645,0.645,0.632,0.635,5439337
 2021/04/12,0.634,0.635,0.615,0.617,4472943
 2021/04/13,0.62,0.621,0.613,0.614,3316331
 2021/04/14,0.614,0.623,0.614,0.622,4195769
 2021/04/15,0.613,0.629,0.613,0.627,6251428
 2021/04/16,0.623,0.628,0.615,0.625,5452819
 2021/04/19,0.625,0.647,0.623,0.645,11983215
 2021/04/20,0.646,0.663,0.644,0.653,16335219
 2021/04/21,0.652,0.659,0.647,0.651,6523282
 2021/04/22,0.654,0.66,0.644,0.654,2505356
 2021/04/23,0.654,0.665,0.654,0.661,14012025
 2021/04/26,0.661,0.674,0.655,0.655,39800920
 2021/04/27,0.654,0.663,0.65,0.657,6641444
 2021/04/28,0.657,0.667,0.657,0.666,8558433
 2021/04/29,0.667,0.672,0.66,0.665,3357109
 2021/04/30,0.669,0.683,0.665,0.679,64540612
 2021/05/06,0.678,0.689,0.671,0.679,24331564
 2021/05/07,0.679,0.684,0.659,0.661,10208030
 2021/05/10,0.661,0.672,0.652,0.667,6897761
 2021/05/11,0.667,0.667,0.647,0.662,4627234
 2021/05/12,0.662,0.669,0.659,0.665,6286558
 2021/05/13,0.665,0.665,0.653,0.654,2955505
 2021/05/14,0.653,0.664,0.647,0.663,4392822
 2021/05/17,0.665,0.683,0.665,0.681,26321038
 2021/05/18,0.676,0.684,0.676,0.679,9337006
 2021/05/19,0.679,0.693,0.675,0.691,25245390
 2021/05/20,0.691,0.693,0.679,0.684,7514592
 2021/05/21,0.689,0.703,0.683,0.688,9868425
 2021/05/24,0.689,0.693,0.677,0.688,5557745
 2021/05/25,0.688,0.695,0.678,0.695,15983154
 2021/05/26,0.697,0.697,0.686,0.687,7523422
 2021/05/27,0.687,0.695,0.685,0.691,8294041
 2021/05/28,0.693,0.71,0.691,0.7,18637388
 2021/05/31,0.701,0.727,0.698,0.725,23291992
 2021/06/01,0.725,0.727,0.712,0.725,12536496
 2021/06/02,0.729,0.736,0.713,0.714,6934860
 2021/06/03,0.716,0.716,0.694,0.695,8153780
 2021/06/04,0.693,0.701,0.687,0.695,6509931
 2021/06/07,0.695,0.697,0.686,0.695,6713234
 2021/06/08,0.693,0.702,0.687,0.692,7240806
 2021/06/09,0.696,0.697,0.686,0.697,3808096
 2021/06/10,0.697,0.733,0.697,0.728,23936100
 2021/06/11,0.728,0.752,0.728,0.743,22707078
 2021/06/15,0.743,0.749,0.732,0.735,13888349
 2021/06/16,0.735,0.735,0.705,0.707,9296171
 2021/06/17,0.706,0.721,0.706,0.721,10312698
 2021/06/18,0.719,0.745,0.719,0.739,8679886
 2021/06/21,0.738,0.766,0.735,0.76,14878631
 2021/06/22,0.761,0.767,0.751,0.764,6130356
 2021/06/23,0.763,0.783,0.763,0.776,8201939
 2021/06/24,0.793,0.811,0.779,0.804,13111297
 2021/06/25,0.819,0.819,0.8,0.806,15758308
 2021/06/28,0.807,0.821,0.806,0.819,24375586
 2021/06/29,0.823,0.842,0.823,0.839,11990110
 2021/06/30,0.838,0.85,0.824,0.847,10886914
 2021/07/01,0.848,0.853,0.822,0.823,8561646
 2021/07/02,0.821,0.832,0.811,0.812,12790170
 2021/07/05,0.811,0.831,0.811,0.827,5767325
 2021/07/06,0.831,0.831,0.795,0.811,11362571
 2021/07/07,0.8,0.86,0.797,0.853,11208420
 2021/07/08,0.853,0.877,0.853,0.864,12044769
 2021/07/09,0.865,0.874,0.837,0.869,13097033
 2021/07/12,0.9,0.9,0.867,0.883,13955035
 2021/07/13,0.883,0.905,0.877,0.895,9883045
 2021/07/14,0.895,0.901,0.869,0.877,11421941
 2021/07/15,0.877,0.916,0.871,0.913,12459639
 2021/07/16,0.922,0.931,0.898,0.905,14567935
 2021/07/19,0.905,0.922,0.896,0.898,10357546
 2021/07/20,0.898,0.907,0.874,0.902,8385337
 2021/07/21,0.906,0.952,0.906,0.946,17153664
 2021/07/22,0.951,0.973,0.943,0.973,13075840
 2021/07/23,0.973,0.998,0.967,0.981,19039536
