                  光伏50ETF (516880),,,,,
,,,,,
      时间,    开盘,    最高,    最低,    收盘,         成交量
,,,,,
 2021/01/18,0.988,0.999,0.96,0.999,197174480
 2021/01/19,1.008,1.011,0.963,0.967,399855168
 2021/01/20,0.968,1.002,0.967,0.998,210566608
 2021/01/21,1.008,1.048,1.002,1.042,353617024
 2021/01/22,1.044,1.08,1.044,1.076,272236992
 2021/01/25,1.077,1.125,1.059,1.078,371201920
 2021/01/26,1.08,1.083,1.05,1.061,190797376
 2021/01/27,1.059,1.106,1.031,1.103,242510656
 2021/01/28,1.069,1.088,1.042,1.049,276000768
 2021/01/29,1.057,1.066,1.001,1.024,337785152
 2021/02/01,1.007,1.017,0.984,0.999,312211584
 2021/02/02,1.008,1.027,0.988,1.017,192627008
 2021/02/03,1.02,1.043,1.01,1.015,172795600
 2021/02/04,1.006,1.024,0.992,1.009,171427296
 2021/02/05,1.012,1.038,1.005,1.009,205361328
 2021/02/08,1.006,1.01,0.969,1.006,215458848
 2021/02/09,1.008,1.044,1.008,1.041,263686544
 2021/02/10,1.046,1.077,1.037,1.066,245587936
 2021/02/18,1.078,1.087,1.049,1.058,141981488
 2021/02/19,1.047,1.05,1.012,1.038,174253648
 2021/02/22,1.033,1.057,1.007,1.009,229431120
 2021/02/23,1.01,1.015,0.992,0.997,235563408
 2021/02/24,0.998,1.005,0.951,0.965,387911712
 2021/02/25,0.971,0.979,0.96,0.964,118033776
 2021/02/26,0.951,0.962,0.926,0.955,147400272
 2021/03/01,0.965,0.989,0.963,0.981,128780048
 2021/03/02,0.989,0.995,0.961,0.971,109483472
 2021/03/03,0.972,0.972,0.947,0.966,105330752
 2021/03/04,0.953,0.956,0.902,0.908,339197856
 2021/03/05,0.88,0.917,0.88,0.908,122270256
 2021/03/08,0.913,0.914,0.857,0.858,182111904
 2021/03/09,0.856,0.86,0.817,0.83,144305504
 2021/03/10,0.85,0.859,0.832,0.839,87753368
 2021/03/11,0.839,0.869,0.836,0.868,105225992
 2021/03/12,0.88,0.885,0.861,0.883,86520720
 2021/03/15,0.877,0.877,0.84,0.848,78489864
 2021/03/16,0.847,0.859,0.839,0.855,48910852
 2021/03/17,0.846,0.86,0.837,0.857,47756064
 2021/03/18,0.857,0.874,0.854,0.873,75286312
 2021/03/19,0.858,0.863,0.845,0.851,63673496
 2021/03/22,0.852,0.874,0.852,0.868,59765688
 2021/03/23,0.87,0.872,0.848,0.858,51516668
 2021/03/24,0.852,0.859,0.836,0.84,60097140
 2021/03/25,0.835,0.841,0.822,0.836,37524176
 2021/03/26,0.843,0.87,0.843,0.865,104200944
 2021/03/29,0.867,0.868,0.852,0.859,40231072
 2021/03/30,0.855,0.887,0.85,0.884,106587808
 2021/03/31,0.877,0.884,0.871,0.878,42133112
 2021/04/01,0.882,0.898,0.879,0.886,59778404
 2021/04/02,0.883,0.892,0.873,0.884,47564384
 2021/04/06,0.887,0.914,0.887,0.904,84434264
 2021/04/07,0.904,0.905,0.877,0.888,59955964
 2021/04/08,0.883,0.886,0.872,0.881,30258684
 2021/04/09,0.878,0.88,0.862,0.866,52656480
 2021/04/12,0.864,0.867,0.84,0.844,58564148
 2021/04/13,0.843,0.848,0.835,0.839,48491872
 2021/04/14,0.836,0.851,0.836,0.849,31435424
 2021/04/15,0.848,0.857,0.841,0.854,40102176
 2021/04/16,0.854,0.855,0.837,0.85,48782400
 2021/04/19,0.848,0.879,0.844,0.878,105537296
 2021/04/20,0.873,0.904,0.87,0.888,121631336
 2021/04/21,0.888,0.897,0.879,0.887,41415096
 2021/04/22,0.892,0.898,0.876,0.889,50488176
 2021/04/23,0.888,0.905,0.883,0.898,66596572
 2021/04/26,0.9,0.919,0.891,0.892,75423720
 2021/04/27,0.891,0.901,0.882,0.891,53858576
 2021/04/28,0.89,0.907,0.889,0.905,51873584
 2021/04/29,0.906,0.911,0.895,0.903,35415316
 2021/04/30,0.9,0.93,0.897,0.924,117032864
 2021/05/06,0.925,0.936,0.911,0.919,42881268
 2021/05/07,0.918,0.929,0.893,0.896,51472196
 2021/05/10,0.892,0.912,0.885,0.905,42504868
 2021/05/11,0.899,0.899,0.876,0.898,46227592
 2021/05/12,0.89,0.907,0.89,0.904,140721760
 2021/05/13,0.892,0.897,0.886,0.889,35063944
 2021/05/14,0.89,0.902,0.876,0.898,52507032
 2021/05/17,0.898,0.925,0.896,0.923,95505432
 2021/05/18,0.923,0.926,0.913,0.919,28027524
 2021/05/19,0.916,0.937,0.911,0.934,72831808
 2021/05/20,0.934,0.938,0.92,0.925,36045248
 2021/05/21,0.935,0.949,0.924,0.929,52519724
 2021/05/24,0.927,0.929,0.913,0.929,37468760
 2021/05/25,0.928,0.936,0.916,0.936,54662296
 2021/05/26,0.936,0.936,0.925,0.928,40555168
 2021/05/27,0.927,0.938,0.922,0.934,47847564
 2021/05/28,0.935,0.956,0.931,0.944,99328864
 2021/05/31,0.941,0.98,0.941,0.977,147903200
 2021/06/01,0.975,0.979,0.96,0.974,62431512
 2021/06/02,0.977,0.992,0.958,0.961,59908944
 2021/06/03,0.96,0.96,0.934,0.936,70714608
 2021/06/04,0.936,0.944,0.922,0.937,50517836
 2021/06/07,0.935,0.938,0.921,0.93,49312212
 2021/06/08,0.928,0.94,0.919,0.927,46467948
 2021/06/09,0.926,0.932,0.918,0.932,33031590
 2021/06/10,0.934,0.981,0.934,0.973,186525008
 2021/06/11,0.978,1.005,0.975,0.997,227861776
 2021/06/15,0.997,1.01,0.981,0.983,87423168
 2021/06/16,0.975,0.976,0.942,0.943,119636568
 2021/06/17,0.943,0.96,0.94,0.959,36064972
 2021/06/18,0.963,0.989,0.96,0.984,76879280
 2021/06/21,0.972,1.018,0.972,1.01,164755056
 2021/06/22,1.012,1.018,0.997,1.014,81648736
 2021/06/23,1.011,1.039,1.011,1.026,128520064
 2021/06/24,1.044,1.072,1.028,1.06,208293920
 2021/06/25,1.063,1.083,1.058,1.064,105534096
 2021/06/28,1.066,1.085,1.066,1.077,88195368
 2021/06/29,1.086,1.114,1.086,1.107,178129984
 2021/06/30,1.104,1.125,1.089,1.121,110954512
 2021/07/01,1.121,1.13,1.084,1.085,92315384
 2021/07/02,1.075,1.098,1.07,1.071,78420456
 2021/07/05,1.066,1.097,1.065,1.09,52765076
 2021/07/06,1.09,1.094,1.05,1.069,71245304
 2021/07/07,1.06,1.134,1.051,1.125,146721920
 2021/07/08,1.128,1.156,1.127,1.139,93782224
 2021/07/09,1.137,1.153,1.102,1.147,121043968
 2021/07/12,1.15,1.182,1.14,1.164,87740672
 2021/07/13,1.161,1.193,1.154,1.184,69399408
 2021/07/14,1.171,1.187,1.143,1.15,63541920
 2021/07/15,1.145,1.206,1.143,1.202,112164088
 2021/07/16,1.202,1.226,1.181,1.185,71037664
 2021/07/19,1.171,1.212,1.171,1.18,47669748
 2021/07/20,1.171,1.19,1.166,1.185,39087976
 2021/07/21,1.188,1.253,1.188,1.245,91136720
 2021/07/22,1.246,1.278,1.237,1.276,60454688
 2021/07/23,1.278,1.305,1.27,1.283,59904508
 2021/07/26,1.285,1.297,1.228,1.275,72858096
 2021/07/27,1.274,1.3,1.195,1.204,86092264
 2021/07/28,1.175,1.221,1.136,1.19,95088976
 2021/07/29,1.216,1.301,1.216,1.3,104530744
 2021/07/30,1.297,1.371,1.288,1.337,118169704
 2021/08/02,1.34,1.376,1.308,1.349,91729512
 2021/08/03,1.346,1.346,1.273,1.294,84350896
 2021/08/04,1.293,1.38,1.284,1.377,133487784
 2021/08/05,1.374,1.398,1.35,1.389,70305016
 2021/08/06,1.389,1.426,1.378,1.403,51785992
 2021/08/09,1.399,1.399,1.339,1.382,65806488
 2021/08/10,1.373,1.424,1.355,1.387,59726692
 2021/08/11,1.38,1.394,1.357,1.383,46710592
 2021/08/12,1.378,1.382,1.355,1.375,37550296
 2021/08/13,1.36,1.392,1.342,1.354,41987184
 2021/08/16,1.352,1.361,1.325,1.332,50037544
 2021/08/17,1.33,1.355,1.305,1.315,46566128
 2021/08/18,1.31,1.332,1.281,1.295,53304852
 2021/08/19,1.29,1.338,1.275,1.321,50699244
 2021/08/20,1.318,1.344,1.303,1.328,53493624
 2021/08/23,1.333,1.377,1.325,1.372,67742544
 2021/08/24,1.378,1.42,1.367,1.394,79358384
 2021/08/25,1.394,1.46,1.388,1.459,90412304
 2021/08/26,1.459,1.483,1.444,1.449,48501588
 2021/08/27,1.445,1.492,1.435,1.481,55719256
 2021/08/30,1.482,1.588,1.482,1.569,60617820
 2021/08/31,1.592,1.595,1.521,1.543,88971872
 2021/09/01,1.548,1.558,1.43,1.463,68465512
 2021/09/02,1.46,1.54,1.445,1.539,58323336
 2021/09/03,1.55,1.578,1.479,1.494,89191192
 2021/09/06,1.49,1.491,1.405,1.474,67002288
 2021/09/07,1.464,1.499,1.446,1.498,51048784
 2021/09/08,1.498,1.519,1.439,1.447,68546432
 2021/09/09,1.45,1.459,1.411,1.448,54046696
 2021/09/10,1.441,1.475,1.426,1.469,49919760
 2021/09/13,1.472,1.472,1.412,1.426,57967288
 2021/09/14,1.418,1.443,1.398,1.424,40471688
 2021/09/15,1.429,1.465,1.422,1.46,58692184
 2021/09/16,1.461,1.462,1.373,1.382,89145120
 2021/09/17,1.381,1.39,1.32,1.359,77699848
 2021/09/22,1.348,1.39,1.335,1.379,46466552
 2021/09/23,1.388,1.407,1.38,1.385,31894592
 2021/09/24,1.384,1.434,1.355,1.411,50313544
 2021/09/27,1.42,1.433,1.357,1.399,52100096
 2021/09/28,1.398,1.414,1.374,1.381,31534232
 2021/09/29,1.363,1.403,1.357,1.373,36586880
 2021/09/30,1.373,1.401,1.366,1.398,33977504
 2021/10/08,1.412,1.415,1.35,1.361,42486304
 2021/10/11,1.373,1.375,1.332,1.343,27234710
 2021/10/12,1.349,1.349,1.301,1.323,35363712
 2021/10/13,1.325,1.385,1.32,1.382,56836816
 2021/10/14,1.375,1.432,1.373,1.407,49692716
