                  电力ETF基金 (561700),,,,,
,,,,,
      时间,    开盘,    最高,    最低,    收盘,         成交量
,,,,,
 2022/07/15,0.995,1.003,0.987,0.987,162696464
 2022/07/18,0.988,1.02,0.988,1.018,185613168
 2022/07/19,1.017,1.018,0.999,1.005,28050900
 2022/07/20,1.005,1.008,0.993,1.001,22890500
 2022/07/21,1,1,0.98,0.981,21443200
 2022/07/22,0.978,0.99,0.972,0.978,28697500
 2022/07/25,0.977,0.979,0.957,0.961,18765800
 2022/07/26,0.96,0.962,0.952,0.961,19890900
 2022/07/27,0.959,0.961,0.954,0.961,14810100
 2022/07/28,0.974,0.974,0.959,0.96,17369400
 2022/07/29,0.961,0.982,0.961,0.965,23420900
 2022/08/01,0.97,0.97,0.947,0.959,20668700
 2022/08/02,0.959,0.959,0.912,0.926,21991500
 2022/08/03,0.925,0.937,0.909,0.911,18136200
 2022/08/04,0.911,0.93,0.911,0.93,17894100
 2022/08/05,0.93,0.932,0.918,0.932,20152900
 2022/08/08,0.921,0.946,0.92,0.942,20203400
 2022/08/09,0.943,0.946,0.936,0.94,12459400
 2022/08/10,0.94,0.94,0.927,0.932,22773400
 2022/08/11,0.935,0.945,0.935,0.943,20173900
 2022/08/12,0.943,0.961,0.943,0.957,17984500
 2022/08/15,0.956,0.971,0.955,0.97,20716900
 2022/08/16,0.97,0.984,0.97,0.978,21724800
 2022/08/17,0.977,0.998,0.977,0.993,25581600
 2022/08/18,0.993,1.012,0.971,0.974,22476058
 2022/08/19,0.979,1.017,0.966,1.012,57684600
 2022/08/22,1.011,1.025,1,1.008,32715400
 2022/08/23,1.007,1.024,1,1.016,40565800
 2022/08/24,1.015,1.017,0.994,0.996,19911176
 2022/08/25,0.996,1.014,0.993,1.01,25328400
 2022/08/26,1.005,1.021,0.978,1.005,26810200
 2022/08/29,0.999,1.007,0.989,1.004,21954400
 2022/08/30,1.004,1.014,0.984,0.992,14893400
 2022/08/31,0.991,0.992,0.968,0.975,18657750
 2022/09/01,0.972,0.978,0.965,0.965,17285700
 2022/09/02,0.966,0.993,0.966,0.977,19205000
 2022/09/05,0.977,0.996,0.963,0.991,20120700
 2022/09/06,0.993,1.016,0.987,1.014,26496300
 2022/09/07,1.013,1.033,1.008,1.032,39550500
 2022/09/08,1.03,1.053,1.029,1.035,33313500
 2022/09/09,1.034,1.042,1.021,1.031,23044700
 2022/09/13,1.031,1.033,1.008,1.011,20803300
 2022/09/14,1.006,1.007,0.993,0.998,13507800
 2022/09/15,1.004,1.005,0.971,0.979,15044500
 2022/09/16,0.979,0.979,0.946,0.947,10409600
 2022/09/19,0.939,0.946,0.92,0.935,6771700
 2022/09/20,0.942,0.945,0.936,0.943,18876200
 2022/09/21,0.936,0.958,0.931,0.954,18060900
 2022/09/22,0.947,0.955,0.943,0.953,16352700
 2022/09/23,0.953,0.958,0.933,0.94,10320400
 2022/09/26,0.94,0.94,0.92,0.923,14483700
 2022/09/27,0.928,0.929,0.914,0.928,12333300
 2022/09/28,0.93,0.937,0.904,0.908,14135400
 2022/09/29,0.911,0.913,0.895,0.902,9203600
 2022/09/30,0.902,0.906,0.899,0.901,18250700
 2022/10/10,0.899,0.911,0.897,0.9,17567000
 2022/10/11,0.895,0.932,0.895,0.931,19382600
 2022/10/12,0.932,0.944,0.915,0.943,11495500
 2022/10/13,0.942,0.96,0.921,0.957,21137200
 2022/10/14,0.957,0.963,0.937,0.961,7762100
 2022/10/17,0.956,0.96,0.938,0.956,3555900
 2022/10/18,0.956,0.965,0.951,0.956,19224900
 2022/10/19,0.956,0.959,0.944,0.944,17278100
 2022/10/20,0.944,0.946,0.931,0.934,14344108
 2022/10/21,0.935,0.958,0.935,0.948,8293700
 2022/10/24,0.949,0.952,0.926,0.934,13878300
 2022/10/25,0.925,0.954,0.925,0.938,21527300
 2022/10/26,0.934,0.948,0.934,0.944,16654500
 2022/10/27,0.944,0.944,0.917,0.919,21785400
 2022/10/28,0.909,0.927,0.885,0.888,10927900
 2022/10/31,0.888,0.888,0.879,0.879,8103400
 2022/11/01,0.887,0.898,0.879,0.891,11716200
 2022/11/02,0.89,0.897,0.88,0.896,12686800
 2022/11/03,0.896,0.899,0.885,0.89,14508600
 2022/11/04,0.89,0.91,0.889,0.907,15238700
 2022/11/07,0.9,0.911,0.9,0.908,6585100
 2022/11/08,0.908,0.908,0.899,0.906,11626400
 2022/11/09,0.905,0.909,0.901,0.906,8771400
 2022/11/10,0.906,0.909,0.9,0.901,9629200
 2022/11/11,0.903,0.922,0.902,0.911,12352600
 2022/11/14,0.911,0.913,0.901,0.904,12395400
 2022/11/15,0.907,0.915,0.901,0.914,9634100
 2022/11/16,0.913,0.938,0.913,0.922,9781500
 2022/11/17,0.922,0.922,0.91,0.915,7454100
 2022/11/18,0.911,0.923,0.911,0.92,10013100
 2022/11/21,0.92,0.926,0.914,0.924,14973400
 2022/11/22,0.924,0.935,0.919,0.927,17664200
 2022/11/23,0.93,0.94,0.927,0.938,18212300
 2022/11/24,0.942,0.95,0.937,0.943,20309300
 2022/11/25,0.942,0.949,0.938,0.948,13663000
 2022/11/28,0.945,0.958,0.928,0.957,21123400
 2022/11/29,0.954,0.955,0.944,0.949,20776200
 2022/11/30,0.949,0.954,0.943,0.947,18372800
 2022/12/01,0.952,0.961,0.944,0.948,18351600
 2022/12/02,0.945,0.948,0.939,0.945,20084100
 2022/12/05,0.945,0.958,0.945,0.955,19555100
 2022/12/06,0.955,0.955,0.939,0.942,18064600
 2022/12/07,0.942,0.942,0.93,0.933,22225200
 2022/12/08,0.935,0.937,0.924,0.929,19043400
 2022/12/09,0.927,0.927,0.917,0.92,19323700
 2022/12/12,0.918,0.918,0.902,0.905,18057000
 2022/12/13,0.904,0.91,0.902,0.907,24068700
 2022/12/14,0.908,0.908,0.899,0.902,19633800
 2022/12/15,0.902,0.903,0.896,0.903,16180300
 2022/12/16,0.903,0.911,0.898,0.907,17112000
 2022/12/19,0.907,0.907,0.882,0.888,17009000
 2022/12/20,0.881,0.889,0.881,0.887,18429500
 2022/12/21,0.887,0.887,0.877,0.88,13837600
 2022/12/22,0.885,0.885,0.865,0.868,12263800
 2022/12/23,0.866,0.873,0.865,0.871,17924100
 2022/12/26,0.897,0.897,0.862,0.884,11335000
 2022/12/27,0.883,0.89,0.88,0.886,2692400
 2022/12/28,0.89,0.914,0.883,0.912,16880700
 2022/12/29,0.91,0.91,0.902,0.907,13245200
 2022/12/30,0.912,0.921,0.908,0.919,17805200
 2023/01/03,0.92,0.94,0.918,0.939,19102200
 2023/01/04,0.931,0.94,0.931,0.934,14866600
 2023/01/05,0.94,0.943,0.935,0.941,19041064
 2023/01/06,0.941,0.952,0.941,0.946,18358100
 2023/01/09,0.945,0.945,0.93,0.93,19594080
 2023/01/10,0.931,0.938,0.924,0.927,17348200
 2023/01/11,0.927,0.936,0.916,0.919,18929300
 2023/01/12,0.918,0.925,0.918,0.918,17350000
 2023/01/13,0.914,0.923,0.913,0.919,12515700
 2023/01/16,0.923,0.926,0.914,0.925,10514900
 2023/01/17,0.925,0.932,0.913,0.916,12940500
 2023/01/18,0.918,0.919,0.914,0.915,11292500
 2023/01/19,0.91,0.915,0.907,0.914,13510000
 2023/01/20,0.915,0.932,0.912,0.931,16594820
 2023/01/30,0.935,0.938,0.922,0.925,17789300
 2023/01/31,0.925,0.928,0.919,0.927,21021900
 2023/02/01,0.929,0.931,0.92,0.931,17838600
 2023/02/02,0.931,0.933,0.924,0.931,18276100
 2023/02/03,0.927,0.931,0.918,0.928,14299420
 2023/02/06,0.923,0.932,0.921,0.923,16544900
 2023/02/07,0.928,0.938,0.926,0.934,19202600
 2023/02/08,0.937,0.939,0.931,0.932,9181800
 2023/02/09,0.937,0.947,0.929,0.935,13627639
 2023/02/10,0.938,0.948,0.931,0.948,17810100
 2023/02/13,0.97,0.97,0.939,0.943,12812300
 2023/02/14,0.939,0.95,0.936,0.944,17873800
 2023/02/15,0.944,0.944,0.937,0.941,17250200
 2023/02/16,0.94,0.943,0.92,0.924,19053900
 2023/02/17,0.924,0.93,0.918,0.918,12780200
 2023/02/20,0.918,0.93,0.917,0.93,12350600
 2023/02/21,0.931,0.934,0.925,0.932,14401200
 2023/02/22,0.929,0.936,0.927,0.93,16495900
 2023/02/23,0.926,0.927,0.922,0.927,12510400
 2023/02/24,0.927,0.927,0.919,0.922,13937800
 2023/02/27,0.92,0.925,0.918,0.922,9345900
 2023/02/28,0.922,0.931,0.922,0.931,13907800
 2023/03/01,0.927,0.938,0.927,0.938,14134100
 2023/03/02,0.938,0.946,0.938,0.938,12110600
 2023/03/03,0.943,0.955,0.94,0.952,18224200
 2023/03/06,0.951,0.962,0.951,0.957,16708400
 2023/03/07,0.951,0.965,0.949,0.949,15281700
 2023/03/08,0.944,0.952,0.94,0.946,11801400
 2023/03/09,0.945,0.946,0.941,0.942,13864500
 2023/03/10,0.935,0.941,0.928,0.933,11423900
 2023/03/13,0.937,0.941,0.931,0.938,5537400
 2023/03/14,0.93,0.951,0.93,0.943,11889600
 2023/03/15,0.943,0.959,0.939,0.954,11440800
 2023/03/16,0.952,0.958,0.943,0.946,16761100
 2023/03/17,0.947,0.96,0.947,0.954,19353800
 2023/03/20,0.943,0.957,0.93,0.941,16360800
 2023/03/21,0.937,0.946,0.937,0.94,7878100
 2023/03/22,0.938,0.945,0.937,0.942,11587900
 2023/03/23,0.942,0.942,0.931,0.939,9658600
 2023/03/24,0.939,0.939,0.932,0.933,9525100
 2023/03/27,0.928,0.93,0.918,0.921,9732300
 2023/03/28,0.921,0.923,0.916,0.921,17773600
 2023/03/29,0.919,0.921,0.913,0.916,15680800
 2023/03/30,0.917,0.924,0.914,0.922,9850300
 2023/03/31,0.918,0.927,0.918,0.926,12395300
 2023/04/03,0.926,0.926,0.916,0.922,12517900
 2023/04/04,0.922,0.923,0.915,0.923,12726500
 2023/04/06,0.92,0.921,0.915,0.918,14031000
