                  电池ETF (561910),,,,,
,,,,,
      时间,    开盘,    最高,    最低,    收盘,         成交量
,,,,,
 2021/08/12,0.996,1.014,0.982,1.005,111253488
 2021/08/13,0.998,1.041,0.995,1.01,69364888
 2021/08/16,1.008,1.008,0.943,0.952,49666500
 2021/08/17,0.953,0.962,0.928,0.935,29608300
 2021/08/18,0.933,0.958,0.924,0.93,28296300
 2021/08/19,0.922,0.972,0.92,0.961,37644600
 2021/08/20,0.955,0.975,0.945,0.961,23583000
 2021/08/23,0.962,0.984,0.949,0.981,29048992
 2021/08/24,0.981,1.019,0.981,1.007,39734800
 2021/08/25,1.011,1.014,0.987,1.013,25401800
 2021/08/26,1.012,1.035,0.998,1.001,24109400
 2021/08/27,0.996,1.014,0.986,1.01,24621900
 2021/08/30,1.01,1.05,1,1.026,46282400
 2021/08/31,1.027,1.027,0.999,1.012,33045500
 2021/09/01,1.005,1.016,0.949,0.966,35567000
 2021/09/02,0.966,0.984,0.96,0.974,21711600
 2021/09/03,0.973,0.981,0.937,0.946,28321900
 2021/09/06,0.956,0.972,0.93,0.971,30232500
 2021/09/07,0.97,1.015,0.966,1.013,42530100
 2021/09/08,1.01,1.02,0.992,0.997,25433300
 2021/09/09,1.01,1.018,0.986,1.003,18298000
 2021/09/10,1.003,1.018,0.993,1.015,25500298
 2021/09/13,1.015,1.024,0.992,1.004,15602300
 2021/09/14,1.008,1.058,0.989,1.042,53249400
 2021/09/15,1.035,1.052,1.032,1.044,22766700
 2021/09/16,1.039,1.042,1,1.001,33426300
 2021/09/17,1.001,1.021,0.982,1.01,31535300
 2021/09/22,0.998,1.013,0.993,1.004,23986200
 2021/09/23,1.009,1.017,0.997,1,24039200
 2021/09/24,1.004,1.04,0.986,1.015,34356600
 2021/09/27,1.015,1.031,0.972,0.994,32351300
 2021/09/28,0.994,1.004,0.969,0.973,32864700
 2021/09/29,0.974,0.984,0.951,0.956,27465200
 2021/09/30,0.97,1.005,0.961,1,38840600
 2021/10/08,1.002,1.019,0.97,0.98,30034100
 2021/10/11,0.981,0.986,0.952,0.972,26636900
 2021/10/12,0.965,0.971,0.932,0.945,31272800
 2021/10/13,0.945,0.983,0.945,0.979,37187500
 2021/10/14,0.979,1.001,0.97,0.99,33822300
 2021/10/15,0.989,1.023,0.979,1.018,34157100
 2021/10/18,1.021,1.049,1.016,1.048,36251300
 2021/10/19,1.054,1.067,1.04,1.052,32783200
 2021/10/20,1.056,1.087,1.053,1.07,30089088
 2021/10/21,1.07,1.077,1.051,1.062,22223800
 2021/10/22,1.066,1.075,1.05,1.052,30385800
 2021/10/25,1.052,1.101,1.051,1.095,29956788
 2021/10/26,1.108,1.123,1.087,1.095,29306200
 2021/10/27,1.092,1.13,1.091,1.12,23719200
 2021/10/28,1.12,1.135,1.094,1.096,23517600
 2021/10/29,1.09,1.106,1.068,1.103,32264900
 2021/11/01,1.102,1.11,1.077,1.091,30604600
 2021/11/02,1.1,1.104,1.072,1.083,22854300
 2021/11/03,1.084,1.084,1.052,1.068,27401100
 2021/11/04,1.07,1.097,1.07,1.081,33618100
 2021/11/05,1.082,1.089,1.057,1.061,27271200
 2021/11/08,1.068,1.109,1.062,1.104,35544300
 2021/11/09,1.11,1.128,1.098,1.108,21636400
 2021/11/10,1.107,1.107,1.071,1.091,25018800
 2021/11/11,1.095,1.108,1.086,1.092,23954800
 2021/11/12,1.092,1.103,1.089,1.103,24494500
 2021/11/15,1.103,1.103,1.054,1.061,30393900
 2021/11/16,1.055,1.065,1.041,1.044,22434100
 2021/11/17,1.055,1.067,1.05,1.065,23261000
 2021/11/18,1.065,1.075,1.047,1.062,23987600
 2021/11/19,1.07,1.075,1.056,1.068,26685800
 2021/11/22,1.069,1.12,1.069,1.12,33812300
 2021/11/23,1.128,1.129,1.101,1.11,20080200
 2021/11/24,1.109,1.121,1.087,1.092,31051200
 2021/11/25,1.095,1.095,1.076,1.084,24346700
 2021/11/26,1.084,1.114,1.084,1.108,31215700
 2021/11/29,1.098,1.14,1.09,1.136,37293528
 2021/11/30,1.138,1.141,1.121,1.132,26010728
 2021/12/01,1.127,1.142,1.111,1.124,22407100
 2021/12/02,1.123,1.133,1.116,1.125,18692900
 2021/12/03,1.13,1.13,1.113,1.125,24857000
 2021/12/06,1.119,1.121,1.087,1.089,32756600
 2021/12/07,1.099,1.108,1.042,1.059,40554100
 2021/12/08,1.061,1.085,1.061,1.081,26754000
 2021/12/09,1.08,1.081,1.07,1.075,25713100
 2021/12/10,1.067,1.093,1.066,1.091,29495400
 2021/12/13,1.092,1.092,1.068,1.083,31548400
 2021/12/14,1.079,1.082,1.066,1.072,28673900
 2021/12/15,1.066,1.08,1.064,1.067,19385700
 2021/12/16,1.07,1.075,1.06,1.069,20492100
 2021/12/17,1.069,1.069,1.038,1.042,33429700
 2021/12/20,1.042,1.042,0.995,1,31213700
 2021/12/21,1.001,1.01,0.983,0.999,26260800
 2021/12/22,1,1.015,1,1.013,27207500
 2021/12/23,1.021,1.022,1.005,1.009,21304100
 2021/12/24,1.015,1.015,0.954,0.964,46808200
 2021/12/27,0.96,0.978,0.958,0.968,17485400
 2021/12/28,0.968,0.994,0.968,0.992,24001400
 2021/12/29,0.994,0.998,0.983,0.985,23574100
 2021/12/30,0.986,0.997,0.984,0.989,18858400
 2021/12/31,0.99,1.007,0.99,0.999,25442000
 2022/01/04,1.009,1.017,0.965,0.975,31043900
 2022/01/05,0.973,0.973,0.929,0.935,31071800
 2022/01/06,0.931,0.936,0.909,0.931,22664600
 2022/01/07,0.932,0.937,0.904,0.912,27221600
 2022/01/10,0.912,0.921,0.898,0.91,20738600
 2022/01/11,0.91,0.924,0.9,0.902,22472100
 2022/01/12,0.92,0.943,0.915,0.942,38702700
 2022/01/13,0.944,0.947,0.918,0.93,24653900
 2022/01/14,0.925,0.95,0.921,0.944,20321000
 2022/01/17,0.94,0.97,0.94,0.966,17000000
 2022/01/18,0.963,0.968,0.952,0.957,18990300
 2022/01/19,0.958,0.958,0.915,0.927,22750800
 2022/01/20,0.924,0.931,0.916,0.917,13786700
 2022/01/21,0.92,0.933,0.907,0.922,17169700
 2022/01/24,0.921,0.947,0.913,0.942,19408600
 2022/01/25,0.94,0.949,0.916,0.918,25182900
 2022/01/26,0.918,0.933,0.913,0.929,23832700
 2022/01/27,0.929,0.931,0.891,0.894,21968000
 2022/01/28,0.898,0.91,0.877,0.892,22770000
 2022/02/07,0.907,0.926,0.893,0.898,25080800
 2022/02/08,0.898,0.898,0.838,0.857,34031500
 2022/02/09,0.857,0.866,0.837,0.863,36486200
 2022/02/10,0.863,0.871,0.825,0.836,34770600
 2022/02/11,0.828,0.842,0.815,0.817,28239000
 2022/02/14,0.816,0.832,0.804,0.818,22595400
 2022/02/15,0.819,0.859,0.819,0.859,44496100
 2022/02/16,0.859,0.869,0.852,0.858,31403300
 2022/02/17,0.857,0.893,0.851,0.882,38136900
 2022/02/18,0.874,0.879,0.866,0.872,28812800
 2022/02/21,0.867,0.877,0.858,0.867,20713300
 2022/02/22,0.854,0.866,0.85,0.865,25277600
 2022/02/23,0.865,0.899,0.865,0.898,33049200
 2022/02/24,0.889,0.91,0.875,0.892,39036400
 2022/02/25,0.897,0.923,0.897,0.91,21768200
 2022/02/28,0.91,0.921,0.902,0.921,24333900
 2022/03/01,0.923,0.936,0.911,0.918,24702800
 2022/03/02,0.912,0.912,0.89,0.899,18765700
 2022/03/03,0.901,0.905,0.876,0.877,26394600
 2022/03/04,0.87,0.88,0.848,0.851,25157100
 2022/03/07,0.849,0.849,0.811,0.816,19019700
 2022/03/08,0.808,0.825,0.791,0.798,21067300
