                  绿电ETF (562550),,,,,
,,,,,
      时间,    开盘,    最高,    最低,    收盘,         成交量
,,,,,
 2023/03/27,0.987,0.987,0.971,0.973,62440952
 2023/03/28,0.973,0.977,0.969,0.97,17543414
 2023/03/29,0.97,0.977,0.967,0.968,12205200
 2023/03/30,0.972,0.976,0.967,0.975,19986814
 2023/03/31,0.975,0.98,0.973,0.977,8299300
 2023/04/03,0.981,0.981,0.968,0.972,11954500
 2023/04/04,0.972,0.975,0.969,0.973,11237800
 2023/04/06,0.97,0.971,0.967,0.971,14460300
 2023/04/07,0.969,0.974,0.969,0.974,9399400
 2023/04/10,0.976,0.997,0.976,0.996,20182700
 2023/04/11,0.996,0.996,0.987,0.99,10275700
 2023/04/12,0.99,0.993,0.982,0.991,6266300
 2023/04/13,0.992,1,0.991,0.995,11528200
 2023/04/14,0.993,1.011,0.993,1.008,132962600
 2023/04/17,1.009,1.022,1.009,1.017,48001984
 2023/04/18,1.017,1.019,1.007,1.01,11452183
 2023/04/19,1.01,1.016,1.006,1.007,8773700
 2023/04/20,1.007,1.009,0.998,1.006,4085700
 2023/04/21,0.998,1.007,0.993,0.993,3215100
 2023/04/24,0.993,1.002,0.99,0.996,4310800
 2023/04/25,1.009,1.009,0.983,0.995,3059200
 2023/04/26,0.996,1.016,0.996,1.012,17138700
 2023/04/27,1.015,1.02,1,1.017,14476500
 2023/04/28,1.017,1.019,1.009,1.018,5997300
 2023/05/04,1.017,1.045,1.017,1.041,35419300
 2023/05/05,1.037,1.047,1.032,1.039,8515800
 2023/05/08,1.039,1.061,1.036,1.049,15164199
 2023/05/09,1.048,1.056,1.038,1.038,8511254
 2023/05/10,1.038,1.061,1.03,1.034,5772700
 2023/05/11,1.03,1.06,1.03,1.05,8344000
 2023/05/12,1.045,1.075,1.04,1.06,11196700
 2023/05/15,1.06,1.071,1.042,1.053,4533900
 2023/05/16,1.046,1.058,1.04,1.054,3824700
 2023/05/17,1.054,1.06,1.042,1.055,4090100
 2023/05/18,1.055,1.061,1.046,1.054,2391500
 2023/05/19,1.043,1.059,1.036,1.037,3005900
 2023/05/22,1.037,1.072,1.037,1.065,6082900
 2023/05/23,1.062,1.066,1.038,1.047,1595200
 2023/05/24,1.043,1.05,1.035,1.035,2970700
 2023/05/25,1.034,1.051,1.034,1.048,2593300
 2023/05/26,1.05,1.063,1.04,1.058,2999600
 2023/05/29,1.066,1.091,1.035,1.09,14404800
 2023/05/30,1.089,1.1,1.072,1.084,5811700
 2023/05/31,1.084,1.084,1.068,1.074,4335600
 2023/06/01,1.075,1.075,1.056,1.057,4265400
 2023/06/02,1.072,1.072,1.051,1.055,6319900
 2023/06/05,1.052,1.062,1.049,1.053,3595400
 2023/06/06,1.046,1.046,1.026,1.029,3672100
 2023/06/07,1.028,1.029,1.019,1.022,886200
 2023/06/08,1.015,1.033,1.015,1.029,1264000
 2023/06/09,1.073,1.073,1.016,1.049,5558700
 2023/06/12,1.038,1.053,1.03,1.031,4682300
 2023/06/13,1.032,1.032,1.018,1.024,1833100
 2023/06/14,1.021,1.024,1.011,1.012,2228100
 2023/06/15,1.012,1.018,1.01,1.018,4779600
 2023/06/16,1.02,1.02,1.01,1.011,2649800
 2023/06/19,1.01,1.023,1.008,1.021,1718800
 2023/06/20,1.025,1.025,1.012,1.016,2295100
 2023/06/21,1.022,1.038,1.019,1.024,6928900
 2023/06/26,1.024,1.044,1.024,1.042,4879500
 2023/06/27,1.043,1.043,0.938,1.042,4782400
 2023/06/28,1.042,1.058,1.01,1.056,3964100
 2023/06/29,1.053,1.056,1.045,1.052,3703100
 2023/06/30,1.049,1.049,1.04,1.047,10752500
 2023/07/03,1.047,1.056,1.037,1.051,14563500
 2023/07/04,1.041,1.05,1.039,1.044,1294100
 2023/07/05,1.048,1.05,1.038,1.04,2238800
 2023/07/06,1.039,1.046,1.034,1.037,543300
 2023/07/07,1.032,1.051,1.032,1.048,3159500
 2023/07/10,1.049,1.063,1.048,1.056,2496100
 2023/07/11,1.046,1.052,1.04,1.048,2537800
 2023/07/12,1.053,1.059,1.042,1.046,1141400
 2023/07/13,1.042,1.053,1.042,1.05,656200
 2023/07/14,1.043,1.046,1.038,1.04,1204400
 2023/07/17,1.036,1.044,1.036,1.039,241700
 2023/07/18,1.038,1.038,1.029,1.031,3900300
 2023/07/19,1.031,1.034,1.026,1.029,8304300
 2023/07/20,1.029,1.029,1.019,1.02,2048900
 2023/07/21,1.02,1.029,1.018,1.021,3731200
 2023/07/24,1.016,1.028,1.016,1.028,4130800
 2023/07/25,1.028,1.028,1.014,1.018,6167300
 2023/07/26,1.018,1.019,1.01,1.016,5993100
 2023/07/27,1.016,1.023,1.012,1.014,4558800
 2023/07/28,1.009,1.019,1.006,1.018,2497500
 2023/07/31,1.017,1.027,1.017,1.026,4871600
 2023/08/01,1.026,1.042,1.025,1.041,6142300
 2023/08/02,1.041,1.041,1.031,1.033,5397900
 2023/08/03,1.029,1.04,1.028,1.038,5368300
 2023/08/04,1.042,1.043,1.033,1.035,4177700
 2023/08/07,1.036,1.041,1.03,1.033,5036000
 2023/08/08,1.039,1.045,1.033,1.033,4062800
 2023/08/09,1.033,1.035,1.021,1.024,5368900
 2023/08/10,1.028,1.028,1.024,1.027,4254800
 2023/08/11,1.026,1.026,1.011,1.013,3991000
 2023/08/14,1.01,1.018,1,1.015,5141200
 2023/08/15,1.015,1.026,1.013,1.02,5226300
 2023/08/16,1.02,1.02,1.012,1.012,4003700
 2023/08/17,1.015,1.015,1.003,1.013,4102800
 2023/08/18,1.011,1.017,1.008,1.009,4741500
 2023/08/21,1.008,1.008,0.996,0.998,4687300
 2023/08/22,0.997,1.001,0.986,0.997,4025100
 2023/08/23,0.993,0.994,0.98,0.98,2947400
 2023/08/24,0.981,0.981,0.97,0.972,4605300
 2023/08/25,0.969,0.987,0.969,0.978,5021500
 2023/08/28,0.999,1.028,0.979,0.979,4275800
 2023/08/29,0.975,0.984,0.975,0.984,7003700
 2023/08/30,0.984,0.988,0.972,0.973,3967800
 2023/08/31,0.974,0.977,0.969,0.977,5158000
 2023/09/01,0.977,0.977,0.969,0.971,4539000
 2023/09/04,0.971,0.976,0.964,0.974,3782200
 2023/09/05,0.975,0.989,0.975,0.989,5863000
 2023/09/06,0.988,0.988,0.976,0.979,4196600
 2023/09/07,0.979,0.979,0.967,0.968,4722200
 2023/09/08,0.968,0.984,0.967,0.982,4609500
 2023/09/11,0.981,0.985,0.977,0.982,2687200
 2023/09/12,0.982,0.99,0.982,0.983,3419900
 2023/09/13,0.983,0.991,0.982,0.988,4085000
 2023/09/14,0.988,0.998,0.987,0.996,4189400
 2023/09/15,0.991,0.995,0.982,0.984,3868100
 2023/09/18,0.984,0.985,0.976,0.983,3654400
 2023/09/19,0.978,0.984,0.978,0.984,3308900
 2023/09/20,0.979,0.979,0.973,0.974,1018200
 2023/09/21,0.973,0.978,0.967,0.967,1138400
 2023/09/22,0.967,0.97,0.962,0.97,1860000
 2023/09/25,0.966,0.97,0.965,0.968,2096600
 2023/09/26,0.965,0.965,0.96,0.962,777300
 2023/09/27,0.964,0.969,0.961,0.961,780300
 2023/09/28,0.96,0.963,0.96,0.961,1295900
 2023/10/09,0.957,0.966,0.957,0.966,3709300
 2023/10/10,0.964,0.964,0.957,0.96,3528100
 2023/10/11,0.958,0.965,0.954,0.957,4457100
 2023/10/12,0.958,0.965,0.957,0.965,3088000
 2023/10/13,0.965,0.966,0.957,0.958,1314000
 2023/10/16,0.961,0.961,0.956,0.96,3002500
 2023/10/17,0.959,0.97,0.959,0.966,4519000
 2023/10/18,0.962,0.962,0.951,0.952,4317600
 2023/10/19,0.95,0.95,0.94,0.941,2400900
 2023/10/20,0.936,0.946,0.936,0.94,3533900
 2023/10/23,0.934,0.934,0.916,0.921,3562900
 2023/10/24,0.921,0.929,0.914,0.929,3010200
 2023/10/25,0.933,0.933,0.924,0.925,3834700
 2023/10/26,0.926,0.945,0.926,0.945,4264500
 2023/10/27,0.945,0.956,0.944,0.952,2080200
 2023/10/30,0.952,0.958,0.951,0.953,3595200
 2023/10/31,0.953,0.955,0.949,0.952,4183900
