                  电池ETF基金 (562880),,,,,
,,,,,
      时间,    开盘,    最高,    最低,    收盘,         成交量
,,,,,
 2021/07/20,0.962,0.985,0.956,0.985,36294996
 2021/07/21,0.997,1.036,0.991,1.028,124646000
 2021/07/22,1.03,1.04,1.01,1.034,45504700
 2021/07/23,1.032,1.056,1.02,1.026,58270700
 2021/07/26,1.021,1.036,0.982,1.015,52730696
 2021/07/27,1.015,1.037,0.945,0.956,59364300
 2021/07/28,0.959,0.975,0.917,0.961,26370400
 2021/07/29,0.976,1.03,0.976,1.026,58348200
 2021/07/30,1.034,1.058,1.017,1.028,65206300
 2021/08/02,1.039,1.073,1.012,1.038,50449500
 2021/08/03,1.04,1.043,0.989,1,47553200
 2021/08/04,0.994,1.077,0.994,1.076,122668096
 2021/08/05,1.071,1.077,1.048,1.071,33013500
 2021/08/06,1.094,1.131,1.087,1.104,55526900
 2021/08/09,1.084,1.084,1.037,1.072,50131000
 2021/08/10,1.065,1.089,1.023,1.051,53454600
 2021/08/11,1.047,1.083,1.036,1.073,44595100
 2021/08/12,1.071,1.085,1.051,1.076,29946900
 2021/08/13,1.065,1.113,1.062,1.069,39768000
 2021/08/16,1.05,1.067,1.013,1.02,51163100
 2021/08/17,1.015,1.032,0.997,1.002,38540500
 2021/08/18,1.004,1.027,0.991,1.001,36865500
 2021/08/19,0.998,1.042,0.987,1.031,53648100
 2021/08/20,1.025,1.045,1.013,1.03,25416500
 2021/08/23,1.028,1.053,1.018,1.049,30869300
 2021/08/24,1.052,1.092,1.05,1.076,41842300
 2021/08/25,1.076,1.089,1.056,1.088,30354800
 2021/08/26,1.089,1.109,1.07,1.073,27313200
 2021/08/27,1.066,1.087,1.059,1.083,23475600
 2021/08/30,1.079,1.124,1.063,1.099,34808300
 2021/08/31,1.097,1.097,1.067,1.08,21762300
 2021/09/01,1.079,1.088,1.015,1.034,30017400
 2021/09/02,1.022,1.054,1.017,1.045,20472200
 2021/09/03,1.042,1.053,1.003,1.014,32419700
 2021/09/06,1.008,1.043,0.998,1.041,29592300
 2021/09/07,1.038,1.091,1.035,1.088,51614300
 2021/09/08,1.089,1.092,1.065,1.072,26955900
 2021/09/09,1.071,1.095,1.056,1.078,19649400
 2021/09/10,1.077,1.092,1.065,1.088,25382000
 2021/09/13,1.086,1.096,1.063,1.076,13834100
 2021/09/14,1.076,1.136,1.062,1.111,51007100
 2021/09/15,1.116,1.131,1.108,1.118,57010200
 2021/09/16,1.12,1.12,1.072,1.072,14447100
 2021/09/17,1.063,1.092,1.051,1.086,24525800
 2021/09/22,1.072,1.085,1.067,1.077,9732900
 2021/09/23,1.08,1.089,1.07,1.073,11096900
 2021/09/24,1.073,1.114,1.056,1.086,18047600
 2021/09/27,1.091,1.103,1.041,1.067,18470600
 2021/09/28,1.059,1.075,1.038,1.04,21185900
 2021/09/29,1.032,1.053,1.016,1.021,17529600
 2021/09/30,1.026,1.071,1.026,1.064,17888500
 2021/10/08,1.084,1.089,1.035,1.046,12397500
 2021/10/11,1.046,1.053,1.017,1.037,10348600
 2021/10/12,1.033,1.038,0.999,1.013,27995100
 2021/10/13,1.015,1.049,1.014,1.048,18317400
 2021/10/14,1.047,1.07,1.031,1.059,21679800
 2021/10/15,1.05,1.093,1.045,1.087,28555000
 2021/10/18,1.087,1.124,1.087,1.122,30351600
 2021/10/19,1.125,1.14,1.12,1.127,17786100
 2021/10/20,1.124,1.165,1.122,1.147,23065700
 2021/10/21,1.148,1.152,1.129,1.138,10765400
 2021/10/22,1.138,1.148,1.123,1.128,9227900
 2021/10/25,1.127,1.179,1.127,1.173,17342100
 2021/10/26,1.194,1.203,1.165,1.17,12101900
 2021/10/27,1.172,1.207,1.166,1.196,16474800
 2021/10/28,1.193,1.213,1.169,1.182,11104200
 2021/10/29,1.166,1.184,1.141,1.183,12219500
 2021/11/01,1.169,1.189,1.153,1.167,8883400
 2021/11/02,1.16,1.181,1.148,1.163,9298600
 2021/11/03,1.152,1.16,1.126,1.142,15271200
 2021/11/04,1.147,1.174,1.147,1.156,7457100
 2021/11/05,1.152,1.165,1.133,1.137,4484800
 2021/11/08,1.137,1.186,1.137,1.18,12283200
 2021/11/09,1.18,1.192,1.176,1.186,13706700
 2021/11/10,1.186,1.186,1.149,1.169,13327500
 2021/11/11,1.175,1.185,1.162,1.17,7133000
