date,open,high,low,close,volumn
 2023/01/11,0.997,0.997,0.982,0.983,100381776
 2023/01/12,0.984,0.991,0.981,0.983,29455718
 2023/01/13,0.983,0.987,0.976,0.985,26583702
 2023/01/16,0.986,0.991,0.98,0.987,22520300
 2023/01/17,0.991,0.991,0.982,0.985,15615740
 2023/01/18,0.985,0.988,0.983,0.984,21202058
 2023/01/19,0.982,0.982,0.978,0.98,20865740
 2023/01/20,0.981,0.993,0.98,0.993,27640158
 2023/01/30,0.993,1.001,0.988,0.99,21443130
 2023/01/31,0.99,0.993,0.984,0.992,23195104
 2023/02/01,1.0,1.0,0.987,0.998,26855982
 2023/02/02,0.998,1.0,0.992,0.996,21932372
 2023/02/03,0.994,0.995,0.983,0.992,23112008
 2023/02/06,0.988,0.995,0.985,0.992,22080456
 2023/02/07,0.991,0.999,0.99,0.999,22072424
 2023/02/08,0.999,1.001,0.996,0.996,34807840
 2023/02/09,0.995,1.002,0.995,1.002,22365980
 2023/02/10,1.001,1.007,0.998,1.005,25592056
 2023/02/13,1.004,1.012,1.001,1.003,19886582
 2023/02/14,1.003,1.009,1.002,1.006,22043594
 2023/02/15,1.011,1.011,0.998,0.999,20061204
 2023/02/16,1.0,1.003,0.979,0.985,23251100
 2023/02/17,0.985,0.988,0.978,0.98,20162100
 2023/02/20,0.98,0.99,0.975,0.989,17366902
 2023/02/21,0.99,0.995,0.987,0.993,21058204
 2023/02/22,1.0,1.0,0.989,0.991,18803900
 2023/02/23,0.991,0.992,0.985,0.988,16803000
 2023/02/24,0.992,0.992,0.983,0.986,16840804
 2023/02/27,0.985,0.99,0.983,0.986,18602308
 2023/02/28,0.983,0.993,0.983,0.992,15455600
 2023/03/01,0.992,0.998,0.991,0.998,26107008
 2023/03/02,0.998,1.008,0.996,1.0,18665186
 2023/03/03,1.002,1.008,0.999,1.007,21203532
 2023/03/06,1.007,1.013,1.005,1.01,13287529
 2023/03/07,1.008,1.016,1.001,1.002,7922264
 2023/03/08,0.992,1.003,0.992,0.999,7863405
 2023/03/09,1.0,1.0,0.994,0.996,8598500
 2023/03/10,0.994,0.994,0.985,0.988,16039900
 2023/03/13,0.988,0.994,0.984,0.993,19501108
 2023/03/14,0.993,0.999,0.985,0.989,8327903
 2023/03/15,0.989,1.003,0.989,1.002,19550852
 2023/03/16,0.999,1.001,0.989,0.993,19093614
 2023/03/17,0.997,1.001,0.991,0.993,15010000
 2023/03/20,1.0,1.001,0.986,0.988,17080300
 2023/03/21,0.997,0.997,0.985,0.988,13497900
 2023/03/22,0.991,0.995,0.986,0.99,12823103
 2023/03/23,0.99,0.99,0.984,0.989,7744805
 2023/03/24,0.987,0.989,0.984,0.985,12703002
 2023/03/27,0.985,0.985,0.973,0.977,17239100
 2023/03/28,0.977,0.98,0.972,0.972,14830600
 2023/03/29,0.981,0.981,0.968,0.974,14077043
 2023/03/30,0.974,0.977,0.969,0.977,12212900
 2023/03/31,0.978,0.981,0.971,0.978,8970402
 2023/04/03,0.976,0.98,0.975,0.98,13430301
 2023/04/04,0.977,0.983,0.975,0.981,13880102
 2023/04/06,0.981,0.981,0.973,0.976,14198303
 2023/04/07,0.978,0.979,0.975,0.977,11398900
 2023/04/10,0.976,0.991,0.976,0.99,10314743
 2023/04/11,0.991,0.995,0.982,0.987,11907000
 2023/04/12,0.989,0.992,0.985,0.987,11931500
 2023/04/13,0.992,0.997,0.986,0.99,10798444
 2023/04/14,0.99,0.998,0.989,0.997,14669600
 2023/04/17,0.997,1.006,0.996,1.005,18391436
 2023/04/18,1.005,1.005,0.996,1.001,12362325
 2023/04/19,1.002,1.004,0.993,0.994,12694103
 2023/04/20,0.992,0.993,0.983,0.99,14567700
 2023/04/21,0.985,0.992,0.977,0.977,15471200
 2023/04/24,0.976,0.984,0.973,0.977,11349600
 2023/04/25,0.977,0.981,0.963,0.972,14662504
 2023/04/26,0.973,0.988,0.973,0.986,12420701
 2023/04/27,0.986,0.993,0.976,0.99,11601807
 2023/04/28,0.99,0.995,0.986,0.994,14601200
 2023/05/04,0.995,1.02,0.993,1.018,17758364
 2023/05/05,1.016,1.02,1.006,1.014,12818303
 2023/05/08,1.014,1.029,1.014,1.023,22523860
 2023/05/09,1.014,1.029,1.014,1.016,17775004
 2023/05/10,1.015,1.025,1.01,1.011,12011701
 2023/05/11,1.01,1.034,1.008,1.021,7501753
 2023/05/12,1.021,1.04,1.02,1.026,12930991
 2023/05/15,1.03,1.036,1.018,1.025,14252901
 2023/05/16,1.03,1.038,1.019,1.024,11644704
 2023/05/17,1.021,1.034,1.019,1.03,12863209
 2023/05/18,1.03,1.035,1.023,1.026,16947416
 2023/05/19,1.022,1.022,1.013,1.013,16595010
 2023/05/22,1.016,1.041,1.016,1.036,12369100
 2023/05/23,1.037,1.037,1.019,1.02,16407500
 2023/05/24,1.016,1.023,1.011,1.011,11829500
 2023/05/25,1.009,1.025,1.009,1.023,12351200
 2023/05/26,1.024,1.029,1.017,1.022,11809301
 2023/05/29,1.022,1.039,1.021,1.037,15526804
 2023/05/30,1.037,1.044,1.027,1.035,12558029
 2023/05/31,1.035,1.035,1.022,1.027,17573200
 2023/06/01,1.048,1.048,1.015,1.018,12588707
 2023/06/02,1.02,1.028,1.019,1.022,10872000
 2023/06/05,1.021,1.027,1.018,1.021,11223700
 2023/06/06,1.016,1.016,0.996,0.997,10944500
 2023/06/07,0.996,0.998,0.99,0.992,12866300
 2023/06/08,0.993,1.002,0.991,1.002,12713200
 2023/06/09,1.002,1.016,0.999,1.016,12608600
 2023/06/12,1.011,1.015,1.002,1.003,14571800
 2023/06/13,1.002,1.007,0.995,0.996,17266800
 2023/06/14,0.996,0.998,0.986,0.987,13051200
 2023/06/15,0.988,0.995,0.987,0.995,11894000
 2023/06/16,0.995,0.996,0.991,0.993,6800700
 2023/06/19,0.992,0.998,0.989,0.997,8402600
 2023/06/20,0.997,0.998,0.99,0.992,12581100
 2023/06/21,0.991,1.005,0.991,0.994,8939300
 2023/06/26,0.994,1.005,0.989,1.005,13867903
 2023/06/27,1.004,1.006,0.993,1.006,10570403
 2023/06/28,1.007,1.022,1.004,1.022,13725910
 2023/06/29,1.022,1.022,1.012,1.019,15397700
 2023/06/30,1.017,1.021,1.012,1.016,8494000
 2023/07/03,1.015,1.024,1.015,1.021,19030900
 2023/07/04,1.02,1.021,1.012,1.016,8188900
 2023/07/05,1.013,1.022,1.012,1.014,15821301
 2023/07/06,1.014,1.019,1.008,1.01,11123000
 2023/07/07,1.01,1.018,1.01,1.014,10672800
 2023/07/10,1.018,1.027,1.016,1.021,8133300
 2023/07/11,1.02,1.02,1.01,1.019,11271100
 2023/07/12,1.019,1.02,1.014,1.015,9774500
 2023/07/13,1.016,1.022,1.016,1.02,12928314
 2023/07/14,1.025,1.027,1.012,1.013,11981900
 2023/07/17,1.01,1.016,1.01,1.013,9522200
 2023/07/18,1.013,1.013,1.004,1.007,13847200
 2023/07/19,1.008,1.008,1.003,1.005,8612200
 2023/07/20,1.007,1.007,0.998,0.998,12424200
 2023/07/21,0.998,1.002,0.996,0.999,7935448
 2023/07/24,0.995,1.001,0.993,0.998,7094900
 2023/07/25,1.003,1.003,0.993,0.997,11793200
 2023/07/26,0.998,0.998,0.993,0.998,12897400
 2023/07/27,0.998,1.004,0.994,0.994,11821700
 2023/07/28,0.99,1.001,0.989,0.998,9305600
 2023/07/31,0.995,1.007,0.995,1.007,11902306
