date,open,high,low,close,volumn
 2021/06/24,1.041,1.045,1.018,1.025,284549856
 2021/06/25,1.03,1.049,1.02,1.045,172959648
 2021/06/28,1.047,1.08,1.047,1.069,128456104
 2021/06/29,1.082,1.096,1.066,1.074,102027704
 2021/06/30,1.075,1.103,1.063,1.099,119432096
 2021/07/01,1.1,1.108,1.067,1.077,112904656
 2021/07/02,1.069,1.092,1.061,1.08,93879592
 2021/07/05,1.079,1.116,1.071,1.116,116893456
 2021/07/06,1.121,1.156,1.09,1.121,202953152
 2021/07/07,1.106,1.184,1.093,1.184,227442784
 2021/07/08,1.2,1.229,1.19,1.211,162301040
 2021/07/09,1.205,1.247,1.184,1.24,214165488
 2021/07/12,1.266,1.314,1.258,1.305,278192416
 2021/07/13,1.306,1.31,1.278,1.305,211087648
 2021/07/14,1.281,1.288,1.241,1.243,252753216
 2021/07/15,1.232,1.269,1.215,1.262,207074080
 2021/07/16,1.248,1.27,1.21,1.212,175891040
 2021/07/19,1.2,1.232,1.175,1.187,204840544
 2021/07/20,1.178,1.215,1.17,1.212,135597744
 2021/07/21,1.223,1.283,1.223,1.28,212157120
 2021/07/22,1.289,1.302,1.261,1.288,177085840
 2021/07/23,1.288,1.32,1.269,1.28,178362912
 2021/07/26,1.272,1.289,1.225,1.264,189640896
 2021/07/27,1.263,1.294,1.183,1.187,273843584
 2021/07/28,1.171,1.226,1.139,1.185,219017616
 2021/07/29,1.226,1.267,1.21,1.267,219249952
 2021/07/30,1.268,1.295,1.247,1.267,199541840
 2021/08/02,1.291,1.331,1.25,1.292,256370960
 2021/08/03,1.293,1.294,1.234,1.24,196126592
 2021/08/04,1.237,1.35,1.237,1.35,375495008
 2021/08/05,1.335,1.349,1.316,1.337,169501152
 2021/08/06,1.374,1.403,1.345,1.363,238904592
 2021/08/09,1.337,1.337,1.28,1.316,322656640
 2021/08/10,1.305,1.33,1.257,1.291,292285504
 2021/08/11,1.288,1.325,1.273,1.317,255356192
 2021/08/12,1.313,1.34,1.29,1.328,202970512
 2021/08/13,1.312,1.377,1.308,1.322,241129664
 2021/08/16,1.295,1.307,1.248,1.256,288809824
 2021/08/17,1.25,1.273,1.23,1.236,255604176
 2021/08/18,1.242,1.276,1.233,1.25,208133392
 2021/08/19,1.245,1.31,1.235,1.296,279091040
 2021/08/20,1.28,1.311,1.261,1.282,235752064
 2021/08/23,1.287,1.315,1.266,1.306,195961472
 2021/08/24,1.312,1.366,1.309,1.348,211374000
 2021/08/25,1.345,1.35,1.311,1.344,154133696
 2021/08/26,1.346,1.366,1.318,1.322,148626752
 2021/08/27,1.316,1.355,1.303,1.347,160440464
 2021/08/30,1.34,1.395,1.331,1.366,192338624
 2021/08/31,1.36,1.363,1.331,1.35,133171880
 2021/09/01,1.358,1.362,1.266,1.29,202858784
 2021/09/02,1.287,1.312,1.28,1.304,142505040
 2021/09/03,1.304,1.309,1.235,1.247,244602928
 2021/09/06,1.242,1.292,1.228,1.289,190438464
 2021/09/07,1.289,1.344,1.28,1.338,198950912
 2021/09/08,1.335,1.346,1.312,1.315,114329368
 2021/09/09,1.317,1.346,1.296,1.325,129111504
 2021/09/10,1.325,1.331,1.304,1.329,116011432
 2021/09/13,1.333,1.344,1.3,1.315,93269632
 2021/09/14,1.311,1.382,1.29,1.355,283886784
 2021/09/15,1.357,1.376,1.344,1.367,192305648
 2021/09/16,1.36,1.365,1.305,1.307,139645664
 2021/09/17,1.304,1.334,1.281,1.32,133109032
 2021/09/22,1.299,1.32,1.293,1.306,77343008
 2021/09/23,1.315,1.325,1.303,1.308,81215312
 2021/09/24,1.301,1.338,1.283,1.306,110629704
 2021/09/27,1.303,1.324,1.248,1.27,133755456
 2021/09/28,1.269,1.277,1.238,1.241,132190552
 2021/09/29,1.235,1.244,1.197,1.203,144746080
 2021/09/30,1.213,1.266,1.21,1.263,147868816
 2021/10/08,1.286,1.295,1.228,1.238,129203304
 2021/10/11,1.233,1.256,1.206,1.238,85244200
 2021/10/12,1.23,1.24,1.19,1.203,113410512
 2021/10/13,1.202,1.252,1.202,1.251,113359536
 2021/10/14,1.247,1.269,1.239,1.259,81789104
 2021/10/15,1.255,1.302,1.242,1.3,133969160
 2021/10/18,1.297,1.333,1.293,1.331,124443168
 2021/10/19,1.337,1.359,1.332,1.339,91644064
 2021/10/20,1.33,1.383,1.328,1.367,183094912
 2021/10/21,1.366,1.37,1.343,1.353,76433720
 2021/10/22,1.355,1.372,1.34,1.344,63515776
 2021/10/25,1.345,1.4,1.345,1.4,155964656
 2021/10/26,1.427,1.439,1.394,1.396,125211576
 2021/10/27,1.39,1.437,1.389,1.421,99230632
 2021/10/28,1.42,1.442,1.383,1.388,103793312
 2021/10/29,1.391,1.41,1.361,1.406,88630896
 2021/11/01,1.399,1.413,1.367,1.38,107149824
 2021/11/02,1.389,1.417,1.371,1.388,91617824
 2021/11/03,1.384,1.384,1.339,1.361,150862512
 2021/11/04,1.369,1.399,1.368,1.384,90530720
 2021/11/05,1.377,1.404,1.36,1.36,96215720
 2021/11/08,1.364,1.431,1.363,1.43,133964896
 2021/11/09,1.431,1.444,1.42,1.436,105335048
 2021/11/10,1.42,1.425,1.375,1.401,145935312
 2021/11/11,1.402,1.417,1.39,1.402,82852032
 2021/11/12,1.4,1.408,1.39,1.404,94397512
 2021/11/15,1.401,1.401,1.345,1.352,187763216
 2021/11/16,1.349,1.36,1.331,1.338,102912304
 2021/11/17,1.345,1.37,1.345,1.364,101074208
 2021/11/18,1.363,1.38,1.342,1.364,90364408
 2021/11/19,1.363,1.379,1.354,1.368,69077000
 2021/11/22,1.375,1.436,1.375,1.435,163839856
 2021/11/23,1.435,1.435,1.412,1.427,79915280
 2021/11/24,1.425,1.44,1.4,1.402,97303368
 2021/11/25,1.399,1.408,1.383,1.396,77774392
 2021/11/26,1.393,1.433,1.388,1.421,112204336
 2021/11/29,1.399,1.461,1.392,1.459,129199840
 2021/11/30,1.463,1.466,1.439,1.45,88076112
 2021/12/01,1.448,1.466,1.423,1.438,92595000
 2021/12/02,1.437,1.457,1.43,1.444,89303072
 2021/12/03,1.444,1.454,1.433,1.447,65882500
