date,open,high,low,close,volumn
 2021/08/09,1.039,1.043,0.998,1.023,204146976
 2021/08/10,1.02,1.037,0.984,1.008,119931456
 2021/08/11,1.006,1.035,0.998,1.028,139220192
 2021/08/12,1.022,1.047,1.01,1.038,85020112
 2021/08/13,1.028,1.078,1.023,1.035,103526288
 2021/08/16,1.025,1.025,0.977,0.983,118811240
 2021/08/17,0.982,0.998,0.962,0.97,63725572
 2021/08/18,0.969,0.999,0.966,0.979,49635268
 2021/08/19,0.98,1.025,0.967,1.01,89051848
 2021/08/20,1.009,1.025,0.985,1.001,72471728
 2021/08/23,1.001,1.027,0.992,1.021,87235736
 2021/08/24,1.023,1.068,1.023,1.052,111218424
 2021/08/25,1.048,1.056,1.025,1.051,44956488
 2021/08/26,1.05,1.069,1.032,1.036,45603704
 2021/08/27,1.035,1.057,1.02,1.051,57496900
 2021/08/30,1.044,1.09,1.042,1.067,78089880
 2021/08/31,1.067,1.067,1.041,1.055,32019940
 2021/09/01,1.055,1.064,0.992,1.011,63622504
 2021/09/02,1.0,1.026,0.996,1.021,48065536
 2021/09/03,1.016,1.024,0.968,0.978,87510824
 2021/09/06,0.978,1.012,0.964,1.008,57282564
 2021/09/07,1.004,1.052,1.004,1.046,82213344
 2021/09/08,1.043,1.053,1.027,1.029,35200380
 2021/09/09,1.035,1.056,1.015,1.037,40928904
 2021/09/10,1.035,1.043,1.022,1.042,37278056
 2021/09/13,1.042,1.052,1.019,1.029,36447336
 2021/09/14,1.035,1.084,1.013,1.064,99127344
 2021/09/15,1.064,1.08,1.056,1.069,53382436
 2021/09/16,1.064,1.067,1.024,1.025,36255220
 2021/09/17,1.03,1.049,1.007,1.037,44263684
 2021/09/22,1.024,1.036,1.017,1.026,22510530
 2021/09/23,1.03,1.042,1.024,1.027,28261910
 2021/09/24,1.025,1.05,1.007,1.024,34237136
 2021/09/27,1.024,1.041,0.981,0.999,61128416
 2021/09/28,0.988,1.002,0.97,0.975,66035104
 2021/09/29,0.97,0.977,0.94,0.946,51648220
 2021/09/30,0.96,0.994,0.951,0.99,50107624
 2021/10/08,0.998,1.015,0.965,0.973,40050260
 2021/10/11,0.977,0.986,0.948,0.971,32325420
 2021/10/12,0.963,0.973,0.936,0.947,42277504
 2021/10/13,0.949,0.984,0.947,0.982,46703932
 2021/10/14,0.98,0.997,0.977,0.989,37240952
 2021/10/15,0.991,1.022,0.976,1.016,57871512
 2021/10/18,1.016,1.046,1.015,1.044,59988116
 2021/10/19,1.045,1.065,1.044,1.051,41730292
 2021/10/20,1.05,1.085,1.046,1.07,61906008
 2021/10/21,1.071,1.074,1.053,1.061,25467228
 2021/10/22,1.065,1.078,1.051,1.055,25402490
 2021/10/25,1.055,1.096,1.055,1.094,47749728
 2021/10/26,1.113,1.125,1.09,1.094,42507192
 2021/10/27,1.095,1.125,1.09,1.116,30503660
 2021/10/28,1.116,1.131,1.085,1.091,25441594
 2021/10/29,1.102,1.104,1.067,1.103,24860872
 2021/11/01,1.088,1.106,1.071,1.082,31837098
 2021/11/02,1.085,1.109,1.075,1.088,30154844
 2021/11/03,1.093,1.093,1.052,1.067,23292360
 2021/11/04,1.07,1.098,1.07,1.086,27801156
 2021/11/05,1.086,1.1,1.067,1.068,26557834
 2021/11/08,1.077,1.122,1.07,1.118,41838276
 2021/11/09,1.12,1.131,1.111,1.123,35720360
 2021/11/10,1.113,1.114,1.078,1.099,39923092
 2021/11/11,1.099,1.112,1.09,1.098,35379712
 2021/11/12,1.1,1.104,1.09,1.1,26241350
 2021/11/15,1.103,1.103,1.055,1.061,59850752
 2021/11/16,1.061,1.066,1.046,1.048,39767816
 2021/11/17,1.054,1.074,1.054,1.07,43169368
 2021/11/18,1.07,1.082,1.053,1.071,38702752
 2021/11/19,1.064,1.082,1.062,1.073,38465928
 2021/11/22,1.075,1.127,1.075,1.126,62000476
 2021/11/23,1.121,1.125,1.108,1.121,32838264
 2021/11/24,1.115,1.131,1.097,1.102,38722096
 2021/11/25,1.105,1.105,1.085,1.096,34500920
 2021/11/26,1.096,1.127,1.095,1.117,39111680
 2021/11/29,1.104,1.149,1.096,1.144,49505944
 2021/11/30,1.145,1.152,1.13,1.139,37491056
 2021/12/01,1.138,1.152,1.118,1.13,40387280
 2021/12/02,1.133,1.146,1.128,1.136,31212276
 2021/12/03,1.136,1.142,1.126,1.137,34796948
 2021/12/06,1.135,1.136,1.101,1.104,43659520
 2021/12/07,1.116,1.116,1.06,1.071,53498716
 2021/12/08,1.075,1.099,1.071,1.098,42242824
 2021/12/09,1.097,1.098,1.087,1.092,28951658
 2021/12/10,1.073,1.111,1.073,1.108,33963576
 2021/12/13,1.108,1.108,1.088,1.101,43041040
 2021/12/14,1.1,1.1,1.077,1.085,53631616
 2021/12/15,1.084,1.094,1.076,1.078,53298044
 2021/12/16,1.079,1.083,1.066,1.075,40805136
 2021/12/17,1.066,1.072,1.046,1.049,63161120
 2021/12/20,1.049,1.05,1.003,1.006,67247712
 2021/12/21,1.007,1.019,0.995,1.008,56275916
 2021/12/22,1.017,1.026,1.014,1.021,45906936
 2021/12/23,1.026,1.031,1.009,1.015,46942500
 2021/12/24,1.02,1.02,0.961,0.97,91499512
 2021/12/27,0.97,0.986,0.967,0.973,45386904
 2021/12/28,0.977,1.0,0.974,1.0,54451504
 2021/12/29,0.998,1.002,0.984,0.992,51824320
 2021/12/30,0.992,1.001,0.988,0.99,51538300
 2021/12/31,1.0,1.007,0.99,0.994,62156044
 2022/01/04,1.0,1.019,0.967,0.971,82022688
 2022/01/05,0.969,0.969,0.926,0.929,87636216
 2022/01/06,0.927,0.931,0.907,0.924,63873640
 2022/01/07,0.927,0.933,0.901,0.908,65899008
 2022/01/10,0.907,0.92,0.896,0.907,64433004
 2022/01/11,0.911,0.922,0.896,0.9,79428896
 2022/01/12,0.913,0.947,0.913,0.947,89693808
 2022/01/13,0.949,0.953,0.923,0.936,67291296
 2022/01/14,0.925,0.953,0.925,0.947,71846000
 2022/01/17,0.942,0.972,0.938,0.97,59855004
 2022/01/18,0.97,0.971,0.957,0.962,61344108
 2022/01/19,0.957,0.967,0.912,0.924,88901736
 2022/01/20,0.92,0.93,0.912,0.917,72396504
 2022/01/21,0.915,0.932,0.903,0.918,48538200
 2022/01/24,0.915,0.943,0.907,0.938,46567700
 2022/01/25,0.933,0.95,0.917,0.917,43513804
 2022/01/26,0.918,0.934,0.914,0.93,42309904
 2022/01/27,0.92,0.932,0.901,0.903,66113300
 2022/01/28,0.908,0.92,0.877,0.892,69895800
 2022/02/07,0.909,0.938,0.905,0.91,55086904
 2022/02/08,0.91,0.91,0.849,0.868,79973008
 2022/02/09,0.868,0.883,0.851,0.88,61581412
 2022/02/10,0.88,0.883,0.845,0.856,66650404
 2022/02/11,0.848,0.867,0.834,0.839,52248400
 2022/02/14,0.835,0.858,0.826,0.844,54288080
 2022/02/15,0.844,0.878,0.844,0.877,66096804
 2022/02/16,0.881,0.896,0.877,0.88,52045500
 2022/02/17,0.879,0.915,0.876,0.905,55101944
 2022/02/18,0.903,0.903,0.886,0.891,42603500
 2022/02/21,0.892,0.897,0.878,0.885,40262204
 2022/02/22,0.88,0.884,0.868,0.884,40130656
 2022/02/23,0.887,0.916,0.885,0.915,48738900
 2022/02/24,0.91,0.92,0.887,0.899,61505704
 2022/02/25,0.905,0.934,0.905,0.924,42899400
 2022/02/28,0.924,0.937,0.919,0.933,57211012
 2022/03/01,0.94,0.944,0.917,0.925,38437012
 2022/03/02,0.925,0.925,0.897,0.905,54829304
 2022/03/03,0.908,0.909,0.883,0.884,64702100
 2022/03/04,0.874,0.883,0.85,0.855,76193000
 2022/03/07,0.853,0.853,0.811,0.815,73244848
 2022/03/08,0.812,0.827,0.776,0.787,87479904
 2022/03/09,0.785,0.793,0.751,0.788,67099904
 2022/03/10,0.814,0.835,0.814,0.827,76615920
 2022/03/11,0.802,0.825,0.795,0.824,74917104
 2022/03/14,0.815,0.818,0.795,0.796,52207800
 2022/03/15,0.79,0.818,0.781,0.787,58003008
 2022/03/16,0.802,0.84,0.786,0.837,78131536
 2022/03/17,0.843,0.877,0.843,0.859,71227304
 2022/03/18,0.858,0.858,0.836,0.854,56502212
 2022/03/21,0.856,0.882,0.854,0.87,68238312
 2022/03/22,0.866,0.878,0.857,0.863,42057900
 2022/03/23,0.87,0.875,0.854,0.861,50302600
 2022/03/24,0.855,0.863,0.838,0.855,113626504
 2022/03/25,0.85,0.857,0.827,0.828,70986600
 2022/03/28,0.824,0.825,0.799,0.805,72019600
 2022/03/29,0.81,0.826,0.806,0.812,108107216
 2022/03/30,0.817,0.847,0.816,0.846,66905700
 2022/03/31,0.845,0.845,0.82,0.826,69953696
 2022/04/01,0.821,0.847,0.818,0.836,158154704
 2022/04/06,0.837,0.841,0.814,0.82,59297624
 2022/04/07,0.817,0.821,0.803,0.808,56398608
 2022/04/08,0.809,0.82,0.796,0.805,54764104
 2022/04/11,0.798,0.798,0.75,0.752,73348208
 2022/04/12,0.753,0.763,0.746,0.763,80151696
 2022/04/13,0.753,0.773,0.749,0.756,68601104
 2022/04/14,0.767,0.77,0.747,0.753,82340904
 2022/04/15,0.754,0.754,0.722,0.739,89068400
 2022/04/18,0.737,0.749,0.72,0.745,65474000
 2022/04/19,0.745,0.764,0.742,0.746,53512000
 2022/04/20,0.745,0.748,0.717,0.72,84760304
 2022/04/21,0.717,0.724,0.691,0.694,95792400
 2022/04/22,0.69,0.699,0.683,0.688,77928408
 2022/04/25,0.667,0.675,0.643,0.644,96159224
 2022/04/26,0.649,0.65,0.627,0.628,111229000
 2022/04/27,0.618,0.68,0.61,0.679,108355304
 2022/04/28,0.665,0.696,0.665,0.681,101746800
 2022/04/29,0.689,0.715,0.675,0.713,76150600
 2022/05/05,0.7,0.718,0.689,0.709,82224600
 2022/05/06,0.695,0.706,0.676,0.694,83296800
 2022/05/09,0.68,0.697,0.68,0.688,73710200
 2022/05/10,0.682,0.708,0.67,0.706,76469400
 2022/05/11,0.704,0.769,0.704,0.75,91878408
 2022/05/12,0.742,0.755,0.738,0.747,76640000
 2022/05/13,0.757,0.765,0.746,0.761,65827900
 2022/05/16,0.763,0.779,0.754,0.756,71688200
 2022/05/17,0.756,0.794,0.753,0.788,72832304
 2022/05/18,0.789,0.799,0.784,0.792,72955104
 2022/05/19,0.785,0.801,0.776,0.8,66297808
 2022/05/20,0.801,0.818,0.793,0.811,69978496
 2022/05/23,0.815,0.817,0.798,0.811,61911900
 2022/05/24,0.81,0.81,0.776,0.777,76852704
 2022/05/25,0.773,0.785,0.764,0.777,64366900
 2022/05/26,0.777,0.791,0.763,0.778,58135808
 2022/05/27,0.783,0.802,0.774,0.779,71288704
 2022/05/30,0.783,0.796,0.781,0.795,59719300
 2022/05/31,0.796,0.804,0.78,0.804,65038304
 2022/06/01,0.801,0.826,0.791,0.822,70678504
 2022/06/02,0.817,0.846,0.814,0.838,58588204
 2022/06/06,0.839,0.894,0.839,0.889,72739408
 2022/06/07,0.898,0.898,0.872,0.882,66100500
 2022/06/08,0.883,0.9,0.868,0.896,68874600
 2022/06/09,0.893,0.896,0.87,0.875,58809404
 2022/06/10,0.865,0.917,0.865,0.913,60734012
 2022/06/13,0.902,0.943,0.9,0.933,76343032
 2022/06/14,0.926,0.933,0.898,0.933,60775216
 2022/06/15,0.95,0.95,0.914,0.928,62282528
 2022/06/16,0.928,0.941,0.921,0.932,58106632
 2022/06/17,0.926,0.972,0.921,0.972,82380584
 2022/06/20,0.981,1.003,0.977,0.987,68129616
 2022/06/21,0.987,0.987,0.96,0.976,87773600
 2022/06/22,0.973,0.998,0.973,0.979,67472912
 2022/06/23,0.988,1.018,0.975,1.018,114712112
 2022/06/24,1.021,1.031,1.004,1.028,76141840
 2022/06/27,1.028,1.045,1.022,1.033,64951968
 2022/06/28,1.032,1.046,1.017,1.043,72437720
 2022/06/29,1.032,1.042,0.994,0.996,83123328
 2022/06/30,0.996,1.016,0.991,1.005,75559504
 2022/07/01,1.006,1.014,0.987,1.0,95026512
 2022/07/04,0.995,1.02,0.987,1.019,72337128
 2022/07/05,1.017,1.043,1.002,1.023,87033080
 2022/07/06,1.023,1.035,1.003,1.019,69957864
 2022/07/07,1.018,1.05,1.015,1.048,74420584
 2022/07/08,1.05,1.06,1.017,1.02,76958144
 2022/07/11,1.013,1.013,0.968,0.982,78771000
 2022/07/12,0.984,0.985,0.945,0.956,67704216
 2022/07/13,0.956,0.986,0.937,0.977,69434560
 2022/07/14,0.97,1.019,0.968,1.014,70603328
 2022/07/15,1.014,1.035,1.001,1.002,74182016
 2022/07/18,1.001,1.018,0.984,1.013,78396304
 2022/07/19,1.01,1.015,0.99,0.994,74384112
 2022/07/20,0.999,1.005,0.988,0.991,70685296
 2022/07/21,0.984,0.999,0.972,0.972,77564600
