date,open,high,low,close,volumn
 2021/08/23,1.006,1.033,0.994,1.025,62664092
 2021/08/24,1.027,1.07,1.026,1.054,52351600
 2021/08/25,1.053,1.054,1.026,1.052,21371828
 2021/08/26,1.046,1.07,1.035,1.037,19125024
 2021/08/27,1.049,1.059,1.021,1.05,27167776
 2021/08/30,1.05,1.091,1.043,1.072,34811012
 2021/08/31,1.071,1.071,1.043,1.057,16395924
 2021/09/01,1.057,1.067,0.994,1.016,32807596
 2021/09/02,1.009,1.026,1.005,1.022,12236354
 2021/09/03,1.022,1.025,0.967,0.983,33740416
 2021/09/06,0.983,1.012,0.966,1.009,23867374
 2021/09/07,1.007,1.051,1.004,1.046,39000708
 2021/09/08,1.045,1.051,1.026,1.028,13938873
 2021/09/09,1.04,1.054,1.015,1.034,16608065
 2021/09/10,1.035,1.041,1.021,1.037,13811208
 2021/09/13,1.04,1.05,1.02,1.027,11075356
 2021/09/14,1.026,1.08,1.012,1.06,53551244
 2021/09/15,1.051,1.074,1.051,1.068,14296220
 2021/09/16,1.067,1.067,1.024,1.028,16466639
 2021/09/17,1.029,1.045,1.005,1.03,17388296
 2021/09/22,1.025,1.033,1.015,1.024,6544409
 2021/09/23,1.027,1.04,1.021,1.026,12965727
 2021/09/24,1.023,1.047,1.006,1.023,19701382
 2021/09/27,1.033,1.037,0.981,1.0,28188700
 2021/09/28,1.011,1.011,0.972,0.977,21565404
 2021/09/29,0.977,0.98,0.941,0.948,18082028
 2021/09/30,0.958,0.996,0.952,0.994,20474568
 2021/10/08,1.0,1.016,0.968,0.974,16179412
 2021/10/11,0.975,0.985,0.949,0.973,13929505
 2021/10/12,0.97,0.972,0.938,0.948,18667510
 2021/10/13,0.949,0.985,0.949,0.985,20429248
 2021/10/14,0.979,0.997,0.979,0.99,15816614
 2021/10/15,0.996,1.025,0.978,1.019,30977296
 2021/10/18,1.019,1.048,1.018,1.046,33131896
 2021/10/19,1.052,1.068,1.045,1.054,28007728
 2021/10/20,1.051,1.087,1.047,1.072,40621456
 2021/10/21,1.072,1.075,1.055,1.061,10252826
 2021/10/22,1.058,1.079,1.053,1.059,13022402
 2021/10/25,1.058,1.098,1.055,1.097,23934404
 2021/10/26,1.115,1.129,1.092,1.096,15774308
 2021/10/27,1.095,1.128,1.093,1.118,12826133
 2021/10/28,1.119,1.134,1.088,1.093,13234010
 2021/10/29,1.091,1.11,1.07,1.106,11130297
 2021/11/01,1.101,1.111,1.076,1.086,8287502
 2021/11/02,1.088,1.113,1.079,1.09,7861012
 2021/11/03,1.089,1.089,1.058,1.072,7626495
 2021/11/04,1.08,1.099,1.078,1.089,6388722
 2021/11/05,1.089,1.104,1.071,1.072,5470501
 2021/11/08,1.086,1.126,1.075,1.122,17182984
 2021/11/09,1.122,1.135,1.117,1.128,6961733
 2021/11/10,1.127,1.127,1.085,1.103,8397613
 2021/11/11,1.109,1.116,1.095,1.104,3834801
 2021/11/12,1.106,1.109,1.094,1.105,4382815
 2021/11/15,1.105,1.105,1.061,1.069,14008100
 2021/11/16,1.072,1.072,1.049,1.053,9378607
 2021/11/17,1.063,1.078,1.063,1.072,6099507
 2021/11/18,1.078,1.084,1.056,1.072,5158202
