date,open,high,low,close,volumn
 2021/08/23,0.998,1.022,0.986,1.019,60387444
 2021/08/24,1.018,1.052,1.012,1.034,39583096
 2021/08/25,1.035,1.088,1.027,1.08,76985800
 2021/08/26,1.079,1.1,1.074,1.077,27906000
 2021/08/27,1.077,1.106,1.069,1.1,22617600
 2021/08/30,1.106,1.183,1.1,1.161,31964544
 2021/08/31,1.161,1.163,1.131,1.148,22345100
 2021/09/01,1.15,1.158,1.062,1.09,32946600
 2021/09/02,1.091,1.141,1.091,1.138,23782000
 2021/09/03,1.139,1.169,1.096,1.107,26663700
 2021/09/06,1.113,1.115,1.045,1.086,49506600
 2021/09/07,1.086,1.113,1.072,1.113,17577100
 2021/09/08,1.112,1.125,1.065,1.072,23487900
 2021/09/09,1.083,1.083,1.046,1.071,19709600
 2021/09/10,1.073,1.093,1.056,1.09,23051800
 2021/09/13,1.097,1.097,1.047,1.056,23236500
 2021/09/14,1.051,1.069,1.039,1.059,11273800
 2021/09/15,1.065,1.085,1.054,1.081,20006000
 2021/09/16,1.083,1.086,1.02,1.033,32984100
 2021/09/17,1.02,1.041,0.983,1.005,24954300
 2021/09/22,0.989,1.029,0.988,1.021,10830200
 2021/09/23,1.029,1.041,1.023,1.028,9920700
 2021/09/24,1.028,1.064,1.006,1.044,21647300
 2021/09/27,1.046,1.06,1.007,1.037,22239200
 2021/09/28,1.037,1.045,1.019,1.025,10114800
 2021/09/29,1.02,1.039,1.007,1.02,10802900
 2021/09/30,1.02,1.045,1.013,1.035,25555900
 2021/10/08,1.04,1.046,1.002,1.011,20982600
 2021/10/11,1.016,1.018,0.991,0.996,19513800
 2021/10/12,0.999,1.0,0.968,0.982,15867200
 2021/10/13,0.99,1.025,0.981,1.02,25094300
 2021/10/14,1.02,1.061,1.019,1.044,35427000
 2021/10/15,1.054,1.073,1.038,1.067,30780000
 2021/10/18,1.067,1.089,1.062,1.086,20079100
 2021/10/19,1.085,1.093,1.075,1.084,17175100
 2021/10/20,1.077,1.121,1.077,1.112,25464700
 2021/10/21,1.115,1.115,1.081,1.087,12262600
