date,open,high,low,close,volumn
 2023/01/03,0.988,1.0,0.973,0.995,149266016
 2023/01/04,0.996,0.996,0.975,0.978,22957562
 2023/01/05,0.98,1.008,0.98,1.007,95103512
 2023/01/06,1.007,1.04,1.0,1.036,114771792
 2023/01/09,1.036,1.049,1.025,1.031,33949800
 2023/01/10,1.03,1.05,1.028,1.049,28163000
 2023/01/11,1.048,1.049,1.033,1.035,11723100
 2023/01/12,1.035,1.059,1.035,1.047,12267434
 2023/01/13,1.05,1.062,1.037,1.048,20218458
 2023/01/16,1.048,1.062,1.04,1.055,12882940
 2023/01/17,1.055,1.062,1.052,1.056,10159300
 2023/01/18,1.056,1.066,1.054,1.059,8824300
 2023/01/19,1.06,1.06,1.051,1.058,5531500
 2023/01/20,1.058,1.082,1.058,1.081,6269400
 2023/01/30,1.1,1.125,1.1,1.101,9304000
 2023/01/31,1.098,1.112,1.098,1.1,3447100
 2023/02/01,1.1,1.113,1.097,1.113,5891850
 2023/02/02,1.108,1.112,1.099,1.101,6821900
 2023/02/03,1.1,1.1,1.069,1.082,6409800
 2023/02/06,1.078,1.078,1.06,1.067,3851100
 2023/02/07,1.067,1.075,1.062,1.069,6371700
 2023/02/08,1.069,1.077,1.066,1.068,5872400
 2023/02/09,1.063,1.08,1.063,1.077,6335400
 2023/02/10,1.069,1.072,1.057,1.061,6669600
 2023/02/13,1.061,1.07,1.056,1.064,6113900
 2023/02/14,1.064,1.068,1.052,1.056,6083500
 2023/02/15,1.056,1.068,1.05,1.052,6612400
 2023/02/16,1.052,1.061,1.03,1.039,6524100
 2023/02/17,1.041,1.041,1.014,1.014,8874600
 2023/02/20,1.014,1.026,1.0,1.025,7502500
 2023/02/21,1.024,1.032,1.017,1.026,5393100
 2023/02/22,1.022,1.026,1.016,1.017,2753000
 2023/02/23,1.017,1.033,1.017,1.03,3105500
 2023/02/24,1.035,1.035,1.015,1.017,5144400
 2023/02/27,1.017,1.024,1.009,1.01,3075000
 2023/02/28,1.018,1.018,1.004,1.016,3916000
 2023/03/01,1.017,1.017,1.008,1.016,4604500
 2023/03/02,1.006,1.016,0.999,1.002,2506500
 2023/03/03,1.008,1.008,1.0,1.003,1180110
 2023/03/06,1.009,1.021,0.99,1.021,7012800
 2023/03/07,1.021,1.021,1.006,1.006,4309700
 2023/03/08,1.004,1.01,0.993,0.997,3575100
 2023/03/09,0.999,1.005,0.994,0.996,7189600
 2023/03/10,0.986,0.995,0.98,0.986,2266100
 2023/03/13,0.985,1.005,0.972,0.974,3945600
 2023/03/14,0.981,0.981,0.945,0.965,5243100
 2023/03/15,0.965,0.982,0.961,0.964,4962400
 2023/03/16,0.965,0.965,0.934,0.934,2282500
 2023/03/17,0.949,0.949,0.929,0.931,2203700
 2023/03/20,0.931,0.946,0.919,0.936,6163600
 2023/03/21,0.936,0.948,0.93,0.948,3489200
 2023/03/22,0.94,0.966,0.94,0.954,5551800
 2023/03/23,0.952,0.954,0.945,0.949,2695200
 2023/03/24,0.955,0.96,0.944,0.952,2006700
 2023/03/27,0.952,0.96,0.943,0.958,2079900
 2023/03/28,0.958,0.958,0.948,0.949,3856700
 2023/03/29,0.949,0.963,0.949,0.957,5585700
 2023/03/30,0.96,0.966,0.954,0.966,3989110
 2023/03/31,0.966,0.982,0.966,0.968,3915100
 2023/04/03,0.979,0.979,0.96,0.968,5885800
 2023/04/04,0.968,0.968,0.94,0.951,7834500
 2023/04/06,0.95,0.953,0.941,0.951,3741200
