date,open,high,low,close,volumn
 2024/11/07,0.977,0.99,0.951,0.989,58950300
 2024/11/08,0.992,1.008,0.99,0.991,58065500
 2024/11/11,0.992,1.024,0.983,1.018,51874100
 2024/11/12,1.02,1.039,0.999,1.008,24721100
 2024/11/13,1.006,1.012,0.991,1.012,4483600
 2024/11/14,1.012,1.019,0.984,0.985,3714900
 2024/11/15,0.985,0.989,0.951,0.952,4425300
 2024/11/18,0.953,0.97,0.926,0.942,5059400
 2024/11/19,0.942,0.958,0.928,0.958,3386700
 2024/11/20,0.953,0.955,0.941,0.951,1720500
 2024/11/21,0.96,0.971,0.947,0.956,3067600
 2024/11/22,0.945,0.947,0.911,0.914,3840600
 2024/11/25,0.914,0.918,0.904,0.918,4518500
 2024/11/26,0.926,0.933,0.909,0.914,3009300
 2024/11/27,0.911,0.932,0.901,0.932,3895800
 2024/11/28,0.927,0.941,0.92,0.927,2847000
 2024/11/29,0.927,0.946,0.924,0.937,2195700
 2024/12/02,0.934,0.944,0.915,0.944,1889000
 2024/12/03,0.937,0.95,0.937,0.943,1904700
 2024/12/04,0.943,0.943,0.916,0.92,2141600
 2024/12/05,0.915,0.922,0.914,0.919,1048500
 2024/12/06,0.925,0.926,0.9,0.923,2910000
 2024/12/09,0.92,0.921,0.908,0.91,1174500
 2024/12/10,0.927,0.934,0.91,0.913,2288500
 2024/12/11,0.913,0.92,0.91,0.92,1024000
 2024/12/12,0.913,0.922,0.911,0.92,1368200
 2024/12/13,0.915,0.915,0.896,0.898,4376700
 2024/12/16,0.963,0.963,0.881,0.886,2514800
 2024/12/17,0.884,0.889,0.875,0.877,2173200
 2024/12/18,0.88,0.88,0.873,0.876,2701600
 2024/12/19,0.871,0.874,0.862,0.874,1923100
 2024/12/20,0.874,0.875,0.867,0.87,1376400
 2024/12/23,0.87,0.883,0.866,0.868,3628000
 2024/12/24,0.874,0.886,0.874,0.88,2350300
 2024/12/25,0.884,0.888,0.87,0.876,2644900
 2024/12/26,0.876,0.877,0.871,0.871,1455700
 2024/12/27,0.871,0.878,0.868,0.87,2324400
 2024/12/30,0.865,0.874,0.865,0.868,1162800
 2024/12/31,0.872,0.878,0.847,0.85,6807600
 2025/01/02,0.85,0.85,0.821,0.825,3986300
 2025/01/03,0.83,0.833,0.806,0.808,2112000
 2025/01/06,0.805,0.82,0.805,0.813,2247500
 2025/01/07,0.812,0.817,0.807,0.816,1037700
 2025/01/08,0.81,0.82,0.797,0.814,2090000
 2025/01/09,0.808,0.823,0.808,0.81,1349800
 2025/01/10,0.81,0.81,0.783,0.783,2591600
 2025/01/13,0.783,0.79,0.777,0.784,1179200
 2025/01/14,0.784,0.812,0.784,0.811,1352000
 2025/01/15,0.811,0.828,0.799,0.814,2360400
 2025/01/16,0.814,0.834,0.814,0.824,4877700
 2025/01/17,0.825,0.829,0.817,0.823,1239500
 2025/01/20,0.827,0.835,0.825,0.825,1698500
 2025/01/21,0.827,0.827,0.812,0.816,1103600
 2025/01/22,0.813,0.814,0.801,0.804,989900
 2025/01/23,0.806,0.816,0.799,0.8,2364800
 2025/01/24,0.798,0.816,0.798,0.814,2538531
 2025/01/27,0.815,0.82,0.801,0.801,1866100
 2025/02/05,0.801,0.809,0.794,0.798,1655900
 2025/02/06,0.799,0.815,0.794,0.814,4405400
 2025/02/07,0.816,0.86,0.816,0.854,15036100
 2025/02/10,0.859,0.867,0.83,0.842,10042472
 2025/02/11,0.838,0.838,0.821,0.825,6120100
 2025/02/12,0.825,0.832,0.818,0.831,4342900
 2025/02/13,0.831,0.831,0.82,0.822,4222100
 2025/02/14,0.822,0.83,0.822,0.824,3840600
 2025/02/17,0.824,0.831,0.82,0.829,3231800
 2025/02/18,0.831,0.841,0.816,0.819,6687900
 2025/02/19,0.816,0.83,0.813,0.829,4686600
 2025/02/20,0.827,0.827,0.817,0.821,3958100
 2025/02/21,0.822,0.828,0.813,0.823,4927600
 2025/02/24,0.825,0.836,0.82,0.835,5161400
 2025/02/25,0.836,0.84,0.824,0.835,3631200
 2025/02/26,0.835,0.862,0.835,0.861,6574500
 2025/02/27,0.86,0.86,0.841,0.85,3171700
 2025/02/28,0.85,0.856,0.834,0.834,2722300
 2025/03/03,0.84,0.852,0.835,0.84,2820700
 2025/03/04,0.848,0.848,0.828,0.84,884500
 2025/03/05,0.839,0.847,0.821,0.827,3523000
 2025/03/06,0.827,0.841,0.827,0.838,2803200
 2025/03/07,0.832,0.843,0.826,0.834,1170200
