date,open,high,low,close,volumn
 2018/06/11,3.87,3.87,3.87,3.87,58622
 2018/06/12,4.34,4.34,4.34,4.34,42041
 2018/06/13,4.86,4.86,4.86,4.86,37181
 2018/06/14,5.43,5.43,5.43,5.43,92930
 2018/06/15,6.06,6.06,6.06,6.06,152792
 2018/06/19,6.75,6.75,6.75,6.75,643000
 2018/06/20,7.51,7.51,7.51,7.51,384467
 2018/06/21,8.35,8.35,8.35,8.35,190967
 2018/06/22,9.27,9.27,9.27,9.27,780652
 2018/06/25,10.28,10.28,10.28,10.28,499195
 2018/06/26,11.4,11.4,11.4,11.4,432773
 2018/06/27,12.63,12.63,12.63,12.63,793028
 2018/06/28,13.98,13.98,13.98,13.98,1511364
 2018/06/29,15.47,15.47,15.47,15.47,7522743
 2018/07/02,17.1,17.1,17.1,17.1,5036687
 2018/07/03,18.9,18.9,18.74,18.9,54602568
 2018/07/04,18.98,20.88,18.02,20.88,94002112
 2018/07/05,19.13,19.92,18.71,18.71,61497824
 2018/07/06,18.59,20.12,18.4,18.86,63010376
 2018/07/09,18.48,20.83,18.44,20.06,74894336
 2018/07/10,19.63,22.15,18.49,22.15,58878384
 2018/07/11,24.13,24.45,23.33,24.45,22386188
 2018/07/12,26.98,26.98,22.53,24.28,83766688
 2018/07/13,23.62,26.8,23.62,26.8,70129040
 2018/07/16,26.13,26.68,24.03,24.03,65710024
 2018/07/17,22.23,23.93,21.54,22.9,56377032
 2018/07/18,22.17,22.42,21.05,21.16,41525280
 2018/07/19,21.41,21.78,20.38,21.22,34995272
 2018/07/20,20.83,21.94,20.25,21.34,39117464
 2018/07/23,20.76,21.21,20.63,20.95,26928792
 2018/07/24,20.99,22.29,20.99,21.67,42270640
 2018/07/25,22.03,22.62,20.93,21.13,38172704
 2018/07/26,20.33,20.33,18.93,19.18,40927016
 2018/07/27,18.88,19.12,18.38,18.44,21806254
 2018/07/30,18.45,18.62,17.33,17.91,22248344
 2018/07/31,17.72,18.48,17.66,18.12,19027964
 2018/08/01,18.13,18.15,17.03,17.28,19224984
 2018/08/02,16.83,16.91,15.55,16.1,24587364
 2018/08/03,16.09,16.22,14.97,15.08,20657444
 2018/08/06,14.79,14.94,14.02,14.51,20348628
 2018/08/07,14.68,15.39,14.31,15.08,24986204
 2018/08/08,14.89,14.9,13.8,13.87,24528094
 2018/08/09,13.74,14.81,13.62,14.41,23068096
 2018/08/10,14.52,15.12,14.31,14.7,24795292
 2018/08/13,14.2,16.26,14.05,16.26,44321892
 2018/08/14,16.13,16.32,15.59,15.77,38141796
 2018/08/15,15.52,15.63,14.96,15.0,22761478
 2018/08/16,14.42,14.78,14.03,14.32,20362514
 2018/08/17,14.53,14.81,13.8,13.83,17615100
 2018/08/20,13.52,13.81,12.89,13.61,19758516
 2018/08/21,13.52,13.78,13.16,13.71,16176361
 2018/08/22,13.81,13.97,13.13,13.18,16478922
 2018/08/23,13.02,13.55,13.02,13.37,15076842
 2018/08/24,13.83,14.79,13.63,13.7,31335088
 2018/08/27,13.94,14.43,13.39,14.19,28512472
 2018/08/28,14.29,14.38,13.77,13.91,18831786
 2018/08/29,13.81,13.89,13.32,13.46,14188804
 2018/08/30,13.72,14.89,13.61,14.89,48554784
 2018/08/31,14.83,16.45,14.48,16.03,64696256
 2018/09/03,15.06,15.63,14.73,15.36,39358556
 2018/09/04,15.09,15.33,14.63,15.33,32861112
 2018/09/05,15.86,16.95,15.71,16.95,43292224
 2018/09/06,16.95,18.73,16.69,18.73,60289248
 2018/09/07,19.88,20.69,17.73,20.69,63249984
 2018/09/10,21.13,22.68,18.53,18.53,75442128
 2018/09/11,17.54,18.48,17.04,17.39,55740380
 2018/09/12,16.96,17.12,16.14,16.48,45617084
 2018/09/13,16.67,16.76,16.03,16.41,32750288
 2018/09/14,16.29,16.55,15.45,15.61,34621224
 2018/09/17,15.22,15.88,14.94,15.67,25406146
 2018/09/18,15.29,16.01,14.94,15.86,32459950
 2018/09/19,15.62,16.81,15.47,16.45,46349728
 2018/09/20,16.14,16.28,15.73,15.84,29729660
 2018/09/21,15.84,15.98,15.18,15.38,24898456
 2018/09/25,15.43,15.71,15.31,15.45,15163267
 2018/09/26,15.4,15.43,15.01,15.19,18618392
 2018/09/27,15.31,15.39,13.81,13.83,27144626
 2018/09/28,13.83,14.31,13.82,14.12,14255740
 2018/10/08,13.7,14.06,13.34,13.58,13415581
 2018/10/09,13.73,14.33,13.63,14.06,16013363
 2018/10/10,14.03,15.13,13.95,14.59,21344386
 2018/10/11,13.82,13.94,13.04,13.04,17619376
 2018/10/12,12.91,13.58,12.81,13.48,17087820
 2018/10/15,13.73,13.91,13.44,13.48,12161057
 2018/10/16,13.34,13.92,12.88,13.7,16122848
 2018/10/17,13.88,14.13,13.39,13.78,14742830
 2018/10/18,13.55,13.63,12.32,12.42,14940201
 2018/10/19,11.99,12.43,11.17,12.3,15240178
 2018/10/22,12.41,13.09,12.15,12.77,19057728
 2018/10/23,12.82,13.91,12.59,13.0,22063792
 2018/10/24,12.66,13.16,12.53,12.75,14340290
 2018/10/25,12.21,12.49,11.93,12.33,11611401
 2018/10/26,12.48,12.8,12.31,12.42,9235259
 2018/10/29,12.43,12.46,11.89,12.0,7458935
 2018/10/30,12.06,12.29,11.97,12.15,8297546
 2018/10/31,12.17,12.73,12.12,12.59,14934974
 2018/11/01,12.53,13.27,12.53,12.74,21951204
 2018/11/02,12.85,13.25,12.73,13.17,21782036
 2018/11/05,13.53,13.53,12.94,13.21,20979694
 2018/11/06,13.03,13.03,12.48,12.8,14865500
 2018/11/07,12.66,13.11,12.66,12.83,10554648
 2018/11/08,13.0,13.04,12.48,12.51,9190248
 2018/11/09,12.37,12.43,12.21,12.24,7549422
 2018/11/12,12.26,12.66,12.26,12.61,8396116
 2018/11/13,12.41,12.76,12.34,12.7,12403056
 2018/11/14,12.81,14.06,12.81,14.06,17898580
 2018/11/15,14.23,15.51,14.13,14.74,49504236
 2018/11/16,14.23,14.57,14.22,14.34,25903308
 2018/11/19,14.29,15.1,14.28,14.85,24413656
 2018/11/20,14.82,14.82,14.08,14.1,18027612
 2018/11/21,13.67,14.01,13.55,13.85,13716333
 2018/11/22,14.03,14.52,13.93,13.97,13393534
 2018/11/23,14.01,14.09,12.68,12.9,15477088
 2018/11/26,12.78,13.08,12.28,12.56,10129658
 2018/11/27,12.72,12.83,12.4,12.65,7640900
 2018/11/28,12.63,12.89,12.18,12.88,9940248
 2018/11/29,12.92,13.06,12.29,12.3,10070583
 2018/11/30,12.27,12.43,11.98,12.33,7977326
 2018/12/03,12.84,13.01,12.62,12.79,11344616
 2018/12/04,12.88,13.08,12.68,12.98,10171254
 2018/12/05,12.43,12.76,12.38,12.61,9025183
 2018/12/06,12.62,12.74,12.43,12.52,6344300
 2018/12/07,12.52,12.62,12.36,12.46,4269311
 2018/12/10,12.32,12.37,12.04,12.14,5699855
 2018/12/11,12.21,12.34,12.15,12.34,4077642
 2018/12/12,12.37,12.75,12.37,12.58,7290671
 2018/12/13,12.66,12.66,12.31,12.5,6743142
 2018/12/14,12.43,12.74,12.41,12.47,9072013
 2018/12/17,12.27,13.13,12.14,13.13,17590084
 2018/12/18,12.98,12.98,12.64,12.72,11059071
 2018/12/19,12.51,12.79,12.3,12.34,7172795
 2018/12/20,12.3,12.51,12.24,12.48,5225242
 2018/12/21,12.43,12.65,12.33,12.64,6715202
 2018/12/24,12.67,12.9,12.62,12.88,9986115
 2018/12/25,12.63,12.77,12.2,12.54,9398765
 2018/12/26,12.53,12.93,12.5,12.56,9375794
 2018/12/27,12.7,12.78,12.17,12.19,8618874
 2018/12/28,12.27,12.43,11.19,11.58,10001466
 2019/01/02,11.59,11.69,11.39,11.4,5283276
 2019/01/03,11.42,11.52,11.17,11.19,6099077
 2019/01/04,10.83,11.42,10.35,11.41,9658671
 2019/01/07,11.53,12.43,11.26,11.87,12063692
 2019/01/08,11.74,11.82,11.51,11.53,7487982
 2019/01/09,11.51,11.99,11.48,11.54,8851348
 2019/01/10,11.49,11.83,11.45,11.51,6892440
 2019/01/11,11.44,11.95,11.41,11.89,13203621
 2019/01/14,11.98,12.42,11.61,12.01,16759306
 2019/01/15,11.75,12.09,11.71,12.01,10530000
 2019/01/16,11.98,12.19,11.89,11.93,8216866
 2019/01/17,11.81,12.07,11.46,11.49,9876577
 2019/01/18,11.44,11.63,11.3,11.52,6254872
 2019/01/21,11.45,11.98,11.45,11.78,7977342
 2019/01/22,11.71,11.91,11.58,11.7,6845171
 2019/01/23,12.01,12.4,11.91,11.94,17076900
 2019/01/24,12.36,13.22,12.06,12.9,41412364
 2019/01/25,12.15,12.35,11.71,11.73,29855764
 2019/01/28,11.55,11.72,11.21,11.28,12930185
 2019/01/29,11.28,11.41,10.43,10.9,9137367
 2019/01/30,10.92,11.09,10.74,10.8,5719771
 2019/01/31,10.85,10.89,10.12,10.15,10002171
 2019/02/01,10.36,10.49,10.25,10.46,4928020
 2019/02/11,10.55,10.84,10.49,10.82,6346742
 2019/02/12,10.84,11.33,10.77,11.04,9576051
 2019/02/13,10.94,11.31,10.88,11.23,11385157
 2019/02/14,11.23,11.51,11.12,11.24,11511973
 2019/02/15,11.13,11.33,11.13,11.22,10331516
 2019/02/18,11.29,12.01,11.22,11.75,18853200
 2019/02/19,11.81,11.89,11.57,11.69,15844102
 2019/02/20,11.63,11.79,11.4,11.63,11405613
 2019/02/21,11.6,11.82,11.37,11.53,14062142
 2019/02/22,11.52,11.72,11.43,11.69,12424396
 2019/02/25,11.74,12.31,11.74,12.23,22085784
 2019/02/26,12.12,12.83,11.93,12.23,24335890
 2019/02/27,12.15,12.61,12.11,12.38,18949392
 2019/02/28,12.35,12.58,12.28,12.58,15020754
 2019/03/01,12.82,12.91,12.34,12.46,12616896
 2019/03/04,12.49,13.38,12.43,13.22,30050026
 2019/03/05,13.1,13.22,12.84,13.09,21121576
 2019/03/06,13.05,13.57,12.93,13.33,23148092
 2019/03/07,13.3,14.62,13.09,13.98,33939016
