stock,total_return,annual_return,annual_volatility,sharpe_ratio,max_drawdown
562970gfETFyfd,-0.29061553985872857,-0.5790584365744065,0.28058498520166486,-2.0637541818505354,-0.30943025540275193
159863gfETFjj,-0.3570324574961361,-0.10663899544803723,0.3347322061363607,-0.3185800275357891,-0.6564822460776223
159625lsdlETF,0.05876591576885404,0.0204455975246991,0.17826935328956653,0.11468935712965145,-0.19304059652029948
159796dc50ETF,-0.4887525562372188,-0.20351477302959253,0.34239153392910754,-0.5943919544217774,-0.6380016380016386
562350dlzsETF,-0.043520309477756314,-0.016770189849622308,0.1894595007146008,-0.08851596138683324,-0.16981132075471653
560980gfETFlt,-0.5669050051072523,-0.3096821005280128,0.3260356325233143,-0.9498412738855099,-0.5984405458089666
159757dc30ETF,-0.5079365079365079,-0.1828452192968386,0.3359452287984968,-0.544270921634404,-0.6599650349650332
561560dlETF,0.12951807228915668,0.0446246937925896,0.18246580101303483,0.2445646994934779,-0.15696784073506873
561910dcETF,-0.5801980198019803,-0.21963384828808274,0.34665185657444514,-0.6335862454581008,-0.6742957746478873
516290gfltETF,-0.6228239845261122,-0.2448300645488397,0.3285734425247415,-0.7451304118421076,-0.6658053402239451
159609gfltETF,-0.6278118609406953,-0.31239094074774076,0.32141030407355586,-0.9719381637380519,-0.6635859519408488
560580dlETFnf,-0.026946107784431184,-0.014820925793027073,0.18240576533848557,-0.08125250737291265,-0.15877192982456134
159669ldETF,0.02238046795523907,0.010401951573570711,0.16363603949570557,0.0635676077569923,-0.13789778206364484
562880dcETFjj,-0.5768482490272373,-0.2142170713950089,0.3411944067753335,-0.6278446162690602,-0.6801319043693327
159618gfETFzsjj,-0.4264367816091954,-0.17769788970708034,0.32969143130224315,-0.5389824327711343,-0.6664438502673791
515790gfETF,-0.4219759926131117,-0.12437600390392867,0.3587324101960954,-0.3467096932667458,-0.6706996317727508
601330lsdl,0.5944700460829493,0.0736223783697656,0.4576322211356212,0.16087673675396055,-0.8048507462686578
159864gf50ETF,-0.5988142292490118,-0.22922689663442797,0.33618915582694026,-0.6818390559641575,-0.6536796536796534
561700dlETFjj,-0.03929273084479379,-0.015188850970154988,0.17738595548822234,-0.08562600645778556,-0.16135265700483067
159755dcETF,-0.42488038277511964,-0.14102732696753872,0.35369767662606316,-0.39872279714360653,-0.6758053461274852
516880gf50ETF,-0.45294725956566695,-0.13845532630951163,0.3393435669255271,-0.40800928558606586,-0.6653919694072659
159767dcltETF,-0.5360531309297913,-0.19842741454048252,0.3310137369097803,-0.5994537157065631,-0.6611353711790393
562550ldETF,0.04948453608247427,0.025098761467290176,0.1724232620803158,0.14556482208067156,-0.15963302752293673
159611dlETF,-0.008519701810436486,-0.002746429406776274,0.2035295987843293,-0.013494004917125275,-0.18763102725366895
562960lsdlETFyfd,0.009960159362549792,0.005216774274143576,0.17260905935970647,0.030223061834038185,-0.1526586620926236
159857gfETF,-0.4259459459459459,-0.13077067137468112,0.34898986628235523,-0.3747119444118164,-0.6643401015228435
516180gfETFjj,-0.3943661971830985,-0.11949858682835712,0.33387127625145724,-0.3579181418959684,-0.6631853785900785
562010lsnyETF,-0.33333333333333326,-0.1709552248001085,0.2683138665668902,-0.6371464396808938,-0.4761904761904764
